time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.01641607,5,3.09953498,-1.70019419,-3.09912880,0.04119873,1.48993588,0.00076294,3.09953498,-1.64970872,-3.09899733,0.01961853,1.49292294,0.00038794,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00976562,0.00000000,0.01464844,-0.01464844,0.95901489,2.55301331,2.58255005,-0.04882812
0.02984381,10,3.09953498,-1.69981272,-3.09874733,0.04959106,1.48993588,0.00076294,3.09953498,-1.64931542,-3.09864310,0.03759345,1.49040174,0.00064006,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00976562,0.00488281,-0.01464844,0.01464844,-0.02929688,0.91705322,2.53301331,2.58255005,-0.02441406
0.04371309,15,3.09953498,-1.69981272,-3.09874733,0.05722046,1.48993588,0.00038147,3.09953498,-1.64915529,-3.09845671,0.04903700,1.48957559,0.00046620,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49985409,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.01464844,-0.02929688,-0.01464844,0.85983276,2.51301331,2.58140564,-0.12207031
0.05632448,20,3.09991645,-1.69981272,-3.09836586,0.06256104,1.48993588,0.00000000,3.09972113,-1.64910282,-3.09813916,0.05649948,1.48930488,0.00033294,3.09953498,-1.65022166,-3.09951027,0.00190735,1.49909115,-0.00038147,0.00000000,0.00000000,0.00488281,0.10253906,-0.04394531,-0.01464844,0.80184937,2.49301331,2.57263184,-0.68359375
0.07568312,25,3.09991645,-1.69981272,-3.09722145,0.06637573,1.48802853,-0.00114441,3.09985245,-1.64908563,-3.09751619,0.06205000,1.48856371,-0.00029068,3.09953498,-1.65022166,-3.09951027,0.00572205,1.49794674,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.26367188,-0.08789062,-0.01464844,0.73661804,2.47301331,2.56614685,-0.46386719
0.08802152,30,3.09991645,-1.69981272,-3.09645851,0.06828308,1.48535824,-0.00228882,3.09989547,-1.64908000,-3.09676005,0.06563992,1.48650016,-0.00145243,3.09953498,-1.65022166,-3.09951027,0.01068115,1.49642087,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.29296875,-0.07324219,0.01464844,0.70648193,2.45301331,2.55775452,-0.65917969
0.10323191,35,3.10144233,-1.69981272,-3.09455117,0.06752014,1.47849179,-0.00228882,3.10062686,-1.64907815,-3.09535835,0.06689805,1.48198145,-0.00201475,3.09953498,-1.65022166,-3.09951027,0.01564026,1.49565793,-0.00038147,-0.00488281,-0.00976562,0.00976562,0.30761719,-0.04394531,-0.02929688,0.68855286,2.43301331,2.54707336,-0.78125000
0.11799288,40,3.10296820,-1.69981272,-3.09226235,0.06675720,1.46895505,-0.00152588,3.10198029,-1.64907755,-3.09342125,0.06661720,1.47459146,-0.00183646,3.09953498,-1.65022166,-3.09951027,0.01945496,1.49489499,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.24902344,-0.04394531,-0.01464844,0.69732666,2.41301331,2.53334045,-0.97656250
0.13207722,45,3.10373114,-1.69981272,-3.08882912,0.06752014,1.46170712,-0.00076294,3.10309492,-1.64907735,-3.09087135,0.06686623,1.46656163,-0.00126510,3.09953498,-1.65022166,-3.09951027,0.02326965,1.49451352,-0.00038147,0.00000000,0.00000000,0.00976562,0.23437500,-0.01464844,-0.01464844,0.73242188,2.39301331,2.52227783,-0.75683594
0.14492655,50,3.10373114,-1.69981272,-3.08501442,0.06904602,1.45865536,-0.00114441,3.10352267,-1.64907728,-3.08744912,0.06753768,1.46131567,-0.00100378,3.09953498,-1.65022166,-3.09951027,0.02555847,1.49336911,-0.00038147,0.00000000,-0.00488281,0.00488281,0.20507812,-0.07324219,-0.02929688,0.76065063,2.37301331,2.51502991,-0.68359375
0.15899539,55,3.10411261,-1.69981272,-3.08081826,0.07209778,1.45598507,-0.00305176,3.10384899,-1.64907726,-3.08345773,0.06981336,1.45780920,-0.00194855,3.09953498,-1.65022166,-3.09951027,0.02861023,1.49069882,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.17578125,-0.19042969,0.00000000,0.78544617,2.35301331,2.50167847,-0.95214844
0.17534256,60,3.10678290,-1.69981272,-3.07357033,0.07324219,1.44835568,-0.00915527,3.10499925,-1.64907725,-3.07847222,0.07158042,1.45310941,-0.00475764,3.09953498,-1.65022166,-3.09951027,0.03204346,1.48688412,-0.00038147,-0.00488281,-0.00488281,0.00976562,0.20507812,-0.27832031,-0.02929688,0.83580017,2.33301331,2.48870850,-0.80566406
0.18657231,65,3.10907172,-1.69981272,-3.06861122,0.07438660,1.44187069,-0.01411438,3.10708589,-1.64907725,-3.07291999,0.07288003,1.44681438,-0.00977541,3.09953498,-1.65022166,-3.09951027,0.03509521,1.48383236,-0.00038147,0.00000000,-0.00488281,0.00976562,0.20507812,-0.16113281,-0.02929688,0.87585449,2.31920401,2.48107910,-0.63476562
