time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02351880,5,3.09953498,-1.69676097,-3.09874733,-0.02021790,1.49184323,-0.00038147,3.09953498,-1.64765696,-3.09899733,-0.01371790,1.49497470,-0.00032043,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.02929688,0.02929688,-0.01464844,1.00021362,2.58052417,2.57949829,0.00000000
0.04031205,10,3.09953498,-1.69676097,-3.09874733,-0.01983643,1.49184323,0.00000000,3.09953498,-1.64681656,-3.09882925,-0.01801168,1.49312582,-0.00010500,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.02929688,-0.00000000,-0.01464844,1.00021362,2.58115818,2.57987976,-0.02441406
0.05406690,15,3.09953498,-1.69676097,-3.09874733,-0.01983643,1.49184323,-0.00038147,3.09953498,-1.64654118,-3.09877418,-0.01923849,1.49251998,-0.00011070,3.09953498,-1.65022166,-3.09951027,-0.00076294,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.02929688,-0.01464844,-0.01464844,1.00021362,2.58106808,2.57987976,0.00000000
0.06879926,20,3.09953498,-1.69676097,-3.09874733,-0.01983643,1.49298764,0.00000000,3.09953498,-1.64645094,-3.09875613,-0.01964050,1.49272124,-0.00007534,3.09953498,-1.65022166,-3.09951027,-0.00152588,1.49947262,-0.00038147,-0.00488281,0.00000000,-0.00000000,-0.08789062,-0.01464844,0.00000000,1.00021362,2.58103856,2.57949829,-0.04882812
0.08513165,25,3.09953498,-1.69676097,-3.09874733,-0.01983643,1.49413205,0.00000000,3.09953498,-1.64642137,-3.09875022,-0.01977222,1.49353462,-0.00002469,3.09953498,-1.65022166,-3.09951027,-0.00343323,1.49870968,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.10253906,-0.05859375,-0.01464844,1.00021362,2.58096639,2.57949829,-0.02441406
0.09934998,30,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49527646,0.00000000,3.09953498,-1.64641168,-3.09874828,-0.01955892,1.49468042,-0.00000809,3.09953498,-1.65022166,-3.09951027,-0.00419617,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.08789062,-0.08789062,0.00000000,1.00021362,2.58100523,2.57949829,-0.04882812
0.11493778,35,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49680234,0.00038147,3.09953498,-1.64640851,-3.09874764,-0.01948902,1.49604270,0.00007364,3.09953498,-1.65022166,-3.09951027,-0.00534058,1.49642087,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.05859375,-0.01464844,-0.02929688,1.00021362,2.58101797,2.57987976,0.00000000
0.12819076,40,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49718381,0.00000000,3.09953498,-1.64640747,-3.09874743,-0.01946612,1.49703511,0.00014327,3.09953498,-1.65022166,-3.09951027,-0.00648499,1.49642087,-0.00038147,-0.00488281,0.00000000,0.00488281,-0.11718750,-0.00000000,-0.01464844,1.00059509,2.58129680,2.57987976,-0.02441406
0.14264417,45,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49718381,0.00000000,3.09953498,-1.64640713,-3.09874737,-0.01945861,1.49739155,0.00007820,3.09953498,-1.65022166,-3.09951027,-0.00762939,1.49642087,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.10253906,0.02929688,-0.01464844,1.00059509,2.58162644,2.57949829,-0.02441406
0.15558410,50,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49718381,0.00000000,3.09953498,-1.64640702,-3.09874734,-0.01945615,1.49750835,0.00016674,3.09953498,-1.65022166,-3.09951027,-0.00915527,1.49680234,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.13183594,0.02929688,-0.02929688,1.00021362,2.58150375,2.57987976,0.00000000
0.16972113,55,3.09953498,-1.69676097,-3.09874733,-0.01945496,1.49718381,0.00000000,3.09953498,-1.64640698,-3.09874734,-0.01945535,1.49754662,0.00005464,3.09953498,-1.65022166,-3.09951027,-0.01144409,1.49680234,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.14648438,0.01464844,-0.01464844,1.00021362,2.58138151,2.57987976,0.00000000
0.18294525,60,3.09953498,-1.69676097,-3.09874733,-0.02021790,1.49680234,0.00000000,3.09953498,-1.64640697,-3.09874733,-0.01984888,1.49748287,0.00001790,3.09953498,-1.65022166,-3.09951027,-0.01182556,1.49680234,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.02929688,0.01464844,-0.01464844,1.00059509,2.58141592,2.57949829,-0.02441406
