frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02354574,1783952982.51404905,862695.00173850,1783952982434.9619,9639,teach_record_20260713_222942_color.mp4
1,0.05716825,1783952982.54767156,862695.03567150,1783952982468.3267,9640,teach_record_20260713_222942_color.mp4
2,0.09041810,1783952982.58092141,862695.06959710,1783952982501.6914,9641,teach_record_20260713_222942_color.mp4
3,0.12403846,1783952982.61454177,862695.10272840,1783952982535.0564,9642,teach_record_20260713_222942_color.mp4
4,0.15776801,1783952982.64827132,862695.13628640,1783952982568.4211,9643,teach_record_20260713_222942_color.mp4
5,0.19107795,1783952982.68158126,862695.16963960,1783952982601.7859,9644,teach_record_20260713_222942_color.mp4
6,0.22357726,1783952982.71408057,862695.20258230,1783952982635.1506,9645,teach_record_20260713_222942_color.mp4
7,0.25863171,1783952982.74913502,862695.23702080,1783952982668.5154,9646,teach_record_20260713_222942_color.mp4
8,0.29041386,1783952982.78091717,862695.26902640,1783952982701.8804,9647,teach_record_20260713_222942_color.mp4
9,0.32326913,1783952982.81377244,862695.30187390,1783952982735.2451,9648,teach_record_20260713_222942_color.mp4
10,0.35736561,1783952982.84786892,862695.33576120,1783952982768.6099,9649,teach_record_20260713_222942_color.mp4
11,0.38983083,1783952982.88033414,862695.36861600,1783952982801.9749,9650,teach_record_20260713_222942_color.mp4
12,0.42442274,1783952982.91492605,862695.40280140,1783952982835.3396,9651,teach_record_20260713_222942_color.mp4
13,0.45803976,1783952982.94854307,862695.43624870,1783952982868.7043,9652,teach_record_20260713_222942_color.mp4
14,0.49203753,1783952982.98254085,862695.47044880,1783952982902.0693,9653,teach_record_20260713_222942_color.mp4
15,0.52360964,1783952983.01411295,862695.50214310,1783952982935.4341,9654,teach_record_20260713_222942_color.mp4
16,0.55790377,1783952983.04840708,862695.53631950,1783952982968.7988,9655,teach_record_20260713_222942_color.mp4
17,0.59039330,1783952983.08089662,862695.56907030,1783952983002.1638,9656,teach_record_20260713_222942_color.mp4
18,0.62412405,1783952983.11462736,862695.60222870,1783952983035.5286,9657,teach_record_20260713_222942_color.mp4
19,0.65765667,1783952983.14815998,862695.63583730,1783952983068.8936,9658,teach_record_20260713_222942_color.mp4
20,0.69061708,1783952983.18112040,862695.66907220,1783952983102.2583,9659,teach_record_20260713_222942_color.mp4
21,0.72425413,1783952983.21475744,862695.70255550,1783952983135.6230,9660,teach_record_20260713_222942_color.mp4
