frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02541208,1784039432.72864795,949149.67244450,1784039432648.0105,12724,teach_record_20260714_223032_color.mp4
1,0.05733609,1784039432.76057196,949149.70377460,1784039432681.3647,12725,teach_record_20260714_223032_color.mp4
2,0.08985519,1784039432.79309106,949149.73695310,1784039432714.7188,12726,teach_record_20260714_223032_color.mp4
3,0.12369895,1784039432.82693481,949149.77035890,1784039432748.0730,12727,teach_record_20260714_223032_color.mp4
4,0.15884137,1784039432.86207724,949149.80540380,1784039432781.4270,12728,teach_record_20260714_223032_color.mp4
5,0.18921733,1784039432.89245319,949149.83687010,1784039432814.7810,12729,teach_record_20260714_223032_color.mp4
6,0.22414422,1784039432.92738008,949149.87041130,1784039432848.1350,12730,teach_record_20260714_223032_color.mp4
7,0.25750494,1784039432.96074080,949149.90391750,1784039432881.4890,12731,teach_record_20260714_223032_color.mp4
8,0.28976250,1784039432.99299836,949149.93694470,1784039432914.8430,12732,teach_record_20260714_223032_color.mp4
9,0.32461238,1784039433.02784824,949149.97128910,1784039432948.1968,12733,teach_record_20260714_223032_color.mp4
10,0.35917211,1784039433.06240797,949150.00613020,1784039432981.5508,12734,teach_record_20260714_223032_color.mp4
11,0.39072084,1784039433.09395671,949150.03781720,1784039433014.9045,12735,teach_record_20260714_223032_color.mp4
12,0.42384553,1784039433.12708139,949150.07038060,1784039433048.2585,12736,teach_record_20260714_223032_color.mp4
13,0.45798707,1784039433.16122293,949150.10434170,1784039433081.6123,12737,teach_record_20260714_223032_color.mp4
14,0.49072886,1784039433.19396472,949150.13701310,1784039433114.9661,12738,teach_record_20260714_223032_color.mp4
15,0.52413464,1784039433.22737050,949150.17054450,1784039433148.3198,12739,teach_record_20260714_223032_color.mp4
16,0.55733562,1784039433.26057148,949150.20382150,1784039433181.6736,12740,teach_record_20260714_223032_color.mp4
17,0.59121585,1784039433.29445171,949150.23755350,1784039433215.0271,12741,teach_record_20260714_223032_color.mp4
18,0.62387633,1784039433.32711220,949150.27055190,1784039433248.3809,12742,teach_record_20260714_223032_color.mp4
19,0.65734887,1784039433.36058474,949150.30383860,1784039433281.7346,12743,teach_record_20260714_223032_color.mp4
20,0.69332385,1784039433.39655972,949150.33967940,1784039433315.0881,12744,teach_record_20260714_223032_color.mp4
21,0.72385669,1784039433.42709255,949150.37037720,1784039433348.4417,12745,teach_record_20260714_223032_color.mp4
22,0.75784922,1784039433.46108508,949150.40443290,1784039433381.7988,12746,teach_record_20260714_223032_color.mp4
23,0.79249358,1784039433.49572945,949150.43882990,1784039433415.1604,12747,teach_record_20260714_223032_color.mp4
24,0.82449794,1784039433.52773380,949150.47157860,1784039433448.5217,12748,teach_record_20260714_223032_color.mp4
25,0.85863471,1784039433.56187057,949150.50488840,1784039433481.8833,12749,teach_record_20260714_223032_color.mp4
26,0.89123821,1784039433.59447408,949150.53763920,1784039433515.2449,12750,teach_record_20260714_223032_color.mp4
27,0.92492318,1784039433.62815905,949150.57121190,1784039433548.6064,12751,teach_record_20260714_223032_color.mp4
28,0.95778155,1784039433.66101742,949150.60438600,1784039433581.9680,12752,teach_record_20260714_223032_color.mp4
29,0.99190354,1784039433.69513941,949150.63828020,1784039433615.3296,12753,teach_record_20260714_223032_color.mp4
30,1.02555704,1784039433.72879291,949150.67207930,1784039433648.6912,12754,teach_record_20260714_223032_color.mp4
31,1.05739903,1784039433.76063490,949150.70418750,1784039433682.0530,12755,teach_record_20260714_223032_color.mp4
32,1.09256840,1784039433.79580426,949150.73975910,1784039433715.4146,12756,teach_record_20260714_223032_color.mp4
33,1.12370849,1784039433.82694435,949150.77082390,1784039433748.7764,12757,teach_record_20260714_223032_color.mp4
34,1.15811682,1784039433.86135268,949150.80480700,1784039433782.1382,12758,teach_record_20260714_223032_color.mp4
35,1.19162750,1784039433.89486337,949150.83799950,1784039433815.5000,12759,teach_record_20260714_223032_color.mp4
36,1.22500634,1784039433.92824221,949150.87133760,1784039433848.8621,12760,teach_record_20260714_223032_color.mp4
37,1.25903583,1784039433.96227169,949150.90608880,1784039433882.2239,12761,teach_record_20260714_223032_color.mp4
38,1.29169536,1784039433.99493122,949150.93824280,1784039433915.5857,12762,teach_record_20260714_223032_color.mp4
39,1.32555532,1784039434.02879119,949150.97209060,1784039433948.9478,12763,teach_record_20260714_223032_color.mp4
40,1.35718822,1784039434.06042409,949151.00450230,1784039433982.3098,12764,teach_record_20260714_223032_color.mp4
41,1.39353704,1784039434.09677291,949151.03990550,1784039434015.6719,12765,teach_record_20260714_223032_color.mp4
42,1.42705250,1784039434.13028836,949151.07325760,1784039434049.0339,12766,teach_record_20260714_223032_color.mp4
43,1.45898151,1784039434.16221738,949151.10520670,1784039434082.3960,12767,teach_record_20260714_223032_color.mp4
44,1.49191236,1784039434.19514823,949151.13857620,1784039434115.7581,12768,teach_record_20260714_223032_color.mp4
45,1.52444363,1784039434.22767949,949151.17099170,1784039434149.1204,12769,teach_record_20260714_223032_color.mp4
46,1.55820131,1784039434.26143718,949151.20461430,1784039434182.4827,12770,teach_record_20260714_223032_color.mp4
47,1.59188867,1784039434.29512453,949151.23846200,1784039434215.8447,12771,teach_record_20260714_223032_color.mp4
48,1.62534642,1784039434.32858229,949151.27170370,1784039434249.2070,12772,teach_record_20260714_223032_color.mp4
49,1.65840840,1784039434.36164427,949151.30470300,1784039434282.5693,12773,teach_record_20260714_223032_color.mp4
50,1.69175625,1784039434.39499211,949151.33836790,1784039434315.9319,12774,teach_record_20260714_223032_color.mp4
51,1.72465873,1784039434.42789459,949151.37101290,1784039434349.2942,12775,teach_record_20260714_223032_color.mp4
52,1.75831628,1784039434.46155214,949151.40498930,1784039434382.6565,12776,teach_record_20260714_223032_color.mp4
53,1.79277396,1784039434.49600983,949151.43922740,1784039434416.0142,12777,teach_record_20260714_223032_color.mp4
54,1.82591653,1784039434.52915239,949151.47305270,1784039434449.3708,12778,teach_record_20260714_223032_color.mp4
55,1.85853457,1784039434.56177044,949151.50498750,1784039434482.7275,12779,teach_record_20260714_223032_color.mp4
56,1.89208722,1784039434.59532309,949151.53837150,1784039434516.0842,12780,teach_record_20260714_223032_color.mp4
57,1.92494345,1784039434.62817931,949151.57146950,1784039434549.4412,12781,teach_record_20260714_223032_color.mp4
58,1.95901227,1784039434.66224813,949151.60568110,1784039434582.7979,12782,teach_record_20260714_223032_color.mp4
59,1.99195719,1784039434.69519305,949151.63831870,1784039434616.1545,12783,teach_record_20260714_223032_color.mp4
60,2.02471828,1784039434.72795415,949151.67183720,1784039434649.5112,12784,teach_record_20260714_223032_color.mp4
61,2.05822229,1784039434.76145816,949151.70450400,1784039434682.8679,12785,teach_record_20260714_223032_color.mp4
62,2.09127045,1784039434.79450631,949151.73868950,1784039434716.2246,12786,teach_record_20260714_223032_color.mp4
63,2.12607837,1784039434.82931423,949151.77232970,1784039434749.5815,12787,teach_record_20260714_223032_color.mp4
64,2.16067696,1784039434.86391282,949151.80710980,1784039434782.9382,12788,teach_record_20260714_223032_color.mp4
65,2.19215512,1784039434.89539099,949151.83864800,1784039434816.2949,12789,teach_record_20260714_223032_color.mp4
66,2.22699451,1784039434.93023038,949151.87327750,1784039434849.6516,12790,teach_record_20260714_223032_color.mp4
67,2.25952888,1784039434.96276474,949151.90605390,1784039434883.0083,12791,teach_record_20260714_223032_color.mp4
68,2.29327416,1784039434.99651003,949151.93970420,1784039434916.3650,12792,teach_record_20260714_223032_color.mp4
69,2.32660627,1784039435.02984214,949151.97297830,1784039434949.7217,12793,teach_record_20260714_223032_color.mp4
70,2.35920405,1784039435.06243992,949152.00556630,1784039434983.0784,12794,teach_record_20260714_223032_color.mp4
71,2.39251041,1784039435.09574628,949152.04012670,1784039435016.4351,12795,teach_record_20260714_223032_color.mp4
72,2.42569494,1784039435.12893081,949152.07237070,1784039435049.7917,12796,teach_record_20260714_223032_color.mp4
73,2.45810771,1784039435.16134357,949152.10506720,1784039435083.1484,12797,teach_record_20260714_223032_color.mp4
74,2.49103212,1784039435.19426799,949152.13823670,1784039435116.5051,12798,teach_record_20260714_223032_color.mp4
75,2.52458215,1784039435.22781801,949152.17172850,1784039435149.8618,12799,teach_record_20260714_223032_color.mp4
76,2.55963063,1784039435.26286650,949152.20642300,1784039435183.2185,12800,teach_record_20260714_223032_color.mp4
77,2.59224248,1784039435.29547834,949152.23921740,1784039435216.5752,12801,teach_record_20260714_223032_color.mp4
78,2.62566733,1784039435.32890320,949152.27194360,1784039435249.9316,12802,teach_record_20260714_223032_color.mp4
79,2.65914369,1784039435.36237955,949152.30606840,1784039435283.2883,12803,teach_record_20260714_223032_color.mp4
80,2.69224191,1784039435.39547777,949152.33883470,1784039435316.6450,12804,teach_record_20260714_223032_color.mp4
81,2.72624230,1784039435.42947817,949152.37261480,1784039435350.0017,12805,teach_record_20260714_223032_color.mp4
82,2.76003075,1784039435.46326661,949152.40629300,1784039435383.3584,12806,teach_record_20260714_223032_color.mp4
83,2.79229879,1784039435.49553466,949152.43850820,1784039435416.7151,12807,teach_record_20260714_223032_color.mp4
84,2.82678485,1784039435.53002071,949152.47303750,1784039435450.0725,12808,teach_record_20260714_223032_color.mp4
85,2.85825038,1784039435.56148624,949152.50539960,1784039435483.4302,12809,teach_record_20260714_223032_color.mp4
86,2.89195871,1784039435.59519458,949152.53863680,1784039435516.7896,12810,teach_record_20260714_223032_color.mp4
87,2.92882371,1784039435.63205957,949152.57550540,1784039435550.1489,12811,teach_record_20260714_223032_color.mp4
88,2.96028876,1784039435.66352463,949152.60708350,1784039435583.5083,12812,teach_record_20260714_223032_color.mp4
89,2.99252558,1784039435.69576144,949152.63886450,1784039435616.8677,12813,teach_record_20260714_223032_color.mp4
90,3.02512884,1784039435.72836471,949152.67244370,1784039435650.2273,12814,teach_record_20260714_223032_color.mp4
91,3.05949187,1784039435.76272774,949152.70661320,1784039435683.5867,12815,teach_record_20260714_223032_color.mp4
92,3.09230042,1784039435.79553628,949152.73941090,1784039435716.9460,12816,teach_record_20260714_223032_color.mp4
93,3.12579560,1784039435.82903147,949152.77248560,1784039435750.3057,12817,teach_record_20260714_223032_color.mp4
94,3.15915585,1784039435.86239171,949152.80575020,1784039435783.6650,12818,teach_record_20260714_223032_color.mp4
95,3.19263220,1784039435.89586806,949152.83885260,1784039435817.0244,12819,teach_record_20260714_223032_color.mp4
96,3.22516942,1784039435.92840528,949152.87259870,1784039435850.3840,12820,teach_record_20260714_223032_color.mp4
97,3.25796247,1784039435.96119833,949152.90568410,1784039435883.7437,12821,teach_record_20260714_223032_color.mp4
98,3.29209018,1784039435.99532604,949152.93951140,1784039435917.1030,12822,teach_record_20260714_223032_color.mp4
99,3.32715106,1784039436.03038692,949152.97345400,1784039435950.4626,12823,teach_record_20260714_223032_color.mp4
100,3.35954666,1784039436.06278253,949153.00664210,1784039435983.8223,12824,teach_record_20260714_223032_color.mp4
101,3.39239693,1784039436.09563279,949153.03888290,1784039436017.1819,12825,teach_record_20260714_223032_color.mp4
102,3.42619920,1784039436.12943506,949153.07241700,1784039436050.5415,12826,teach_record_20260714_223032_color.mp4
103,3.45867324,1784039436.16190910,949153.10592710,1784039436083.9011,12827,teach_record_20260714_223032_color.mp4
104,3.49437976,1784039436.19761562,949153.14080740,1784039436117.2607,12828,teach_record_20260714_223032_color.mp4
