frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02288437,1782650988.90223336,95845.80308960,1782650988902.0427,6435,teach_record_20260628_204948_color.mp4
1,0.10245347,1782650988.98180246,95845.88230720,1782650988968.7798,6437,teach_record_20260628_204948_color.mp4
2,0.12329197,1782650989.00264096,95845.90318790,1782650989002.1653,6438,teach_record_20260628_204948_color.mp4
3,0.15644431,1782650989.03579330,95845.93629690,1782650989035.4995,6439,teach_record_20260628_204948_color.mp4
4,0.19048190,1782650989.06983089,95845.97037730,1782650989068.8704,6440,teach_record_20260628_204948_color.mp4
5,0.22363210,1782650989.10298109,95846.00377880,1782650989102.1069,6441,teach_record_20260628_204948_color.mp4
6,0.25565934,1782650989.13500834,95846.03659560,1782650989135.5945,6442,teach_record_20260628_204948_color.mp4
7,0.28962016,1782650989.16896915,95846.06979840,1782650989168.8152,6443,teach_record_20260628_204948_color.mp4
8,0.32363677,1782650989.20298576,95846.10440190,1782650989202.3401,6444,teach_record_20260628_204948_color.mp4
9,0.35610223,1782650989.23545122,95846.13659930,1782650989235.7175,6445,teach_record_20260628_204948_color.mp4
10,0.38989162,1782650989.26924062,95846.16986090,1782650989268.9307,6446,teach_record_20260628_204948_color.mp4
11,0.42357397,1782650989.30292296,95846.20378940,1782650989302.3364,6447,teach_record_20260628_204948_color.mp4
12,0.45689726,1782650989.33624625,95846.23683330,1782650989335.6543,6448,teach_record_20260628_204948_color.mp4
13,0.49055529,1782650989.36990428,95846.27057420,1782650989369.1147,6449,teach_record_20260628_204948_color.mp4
14,0.52413177,1782650989.40348077,95846.30481860,1782650989402.5845,6450,teach_record_20260628_204948_color.mp4
15,0.55738950,1782650989.43673849,95846.33726420,1782650989435.8979,6451,teach_record_20260628_204948_color.mp4
16,0.58916163,1782650989.46851063,95846.37024620,1782650989469.1472,6452,teach_record_20260628_204948_color.mp4
