frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02084351,1784039377.82065058,949094.76370520,1784039377741.2466,11078,teach_record_20260714_222937_color.mp4
1,0.05311394,1784039377.85292101,949094.79624940,1784039377774.6052,11079,teach_record_20260714_222937_color.mp4
2,0.08687091,1784039377.88667798,949094.82983140,1784039377807.9641,11080,teach_record_20260714_222937_color.mp4
3,0.12011623,1784039377.91992331,949094.86309690,1784039377841.3228,11081,teach_record_20260714_222937_color.mp4
4,0.15309954,1784039377.95290661,949094.89626280,1784039377874.6816,11082,teach_record_20260714_222937_color.mp4
5,0.18722796,1784039377.98703504,949094.93020730,1784039377908.0403,11083,teach_record_20260714_222937_color.mp4
6,0.22157884,1784039378.02138591,949094.96480760,1784039377941.3992,11084,teach_record_20260714_222937_color.mp4
7,0.25501370,1784039378.05482078,949094.99781200,1784039377974.7578,11085,teach_record_20260714_222937_color.mp4
8,0.28715515,1784039378.08696222,949095.02993550,1784039378008.1167,11086,teach_record_20260714_222937_color.mp4
9,0.31877637,1784039378.11858344,949095.06307720,1784039378041.4756,11087,teach_record_20260714_222937_color.mp4
10,0.35449004,1784039378.15429711,949095.09731780,1784039378074.8342,11088,teach_record_20260714_222937_color.mp4
11,0.38789940,1784039378.18770647,949095.13105990,1784039378108.1931,11089,teach_record_20260714_222937_color.mp4
12,0.42024636,1784039378.22005343,949095.16365790,1784039378141.5518,11090,teach_record_20260714_222937_color.mp4
13,0.45358610,1784039378.25339317,949095.19659320,1784039378174.9106,11091,teach_record_20260714_222937_color.mp4
14,0.48777914,1784039378.28758621,949095.23053570,1784039378208.2693,11092,teach_record_20260714_222937_color.mp4
15,0.52134824,1784039378.32115531,949095.26433660,1784039378241.6282,11093,teach_record_20260714_222937_color.mp4
16,0.55414724,1784039378.35395432,949095.29722160,1784039378274.9871,11094,teach_record_20260714_222937_color.mp4
17,0.58770370,1784039378.38751078,949095.33109820,1784039378308.3457,11095,teach_record_20260714_222937_color.mp4
18,0.62140679,1784039378.42121387,949095.36418690,1784039378341.7043,11096,teach_record_20260714_222937_color.mp4
19,0.65407252,1784039378.45387959,949095.39770190,1784039378375.0608,11097,teach_record_20260714_222937_color.mp4
20,0.68759871,1784039378.48740578,949095.43083050,1784039378408.4170,11098,teach_record_20260714_222937_color.mp4
21,0.72287059,1784039378.52267766,949095.46565730,1784039378441.7732,11099,teach_record_20260714_222937_color.mp4
22,0.75629067,1784039378.55609775,949095.49911230,1784039378475.1296,11100,teach_record_20260714_222937_color.mp4
23,0.78776789,1784039378.58757496,949095.53178280,1784039378508.4858,11101,teach_record_20260714_222937_color.mp4
24,0.82095313,1784039378.62076020,949095.56373420,1784039378541.8420,11102,teach_record_20260714_222937_color.mp4
25,0.85391736,1784039378.65372443,949095.59671210,1784039378575.1982,11103,teach_record_20260714_222937_color.mp4
26,0.88821268,1784039378.68801975,949095.63122940,1784039378608.5544,11104,teach_record_20260714_222937_color.mp4
27,0.92033482,1784039378.72014189,949095.66339380,1784039378641.9106,11105,teach_record_20260714_222937_color.mp4
28,0.95385695,1784039378.75366402,949095.69704870,1784039378675.2668,11106,teach_record_20260714_222937_color.mp4
29,0.98693871,1784039378.78674579,949095.73034790,1784039378708.6230,11107,teach_record_20260714_222937_color.mp4
30,1.02056789,1784039378.82037497,949095.76375820,1784039378741.9790,11108,teach_record_20260714_222937_color.mp4
31,1.05551481,1784039378.85532188,949095.79832450,1784039378775.3352,11109,teach_record_20260714_222937_color.mp4
32,1.08870053,1784039378.88850760,949095.83186240,1784039378808.6914,11110,teach_record_20260714_222937_color.mp4
33,1.12197781,1784039378.92178488,949095.86514480,1784039378842.0474,11111,teach_record_20260714_222937_color.mp4
34,1.15465331,1784039378.95446038,949095.89865060,1784039378875.4036,11112,teach_record_20260714_222937_color.mp4
35,1.18688011,1784039378.98668718,949095.93045500,1784039378908.7595,11113,teach_record_20260714_222937_color.mp4
36,1.22069359,1784039379.02050066,949095.96422830,1784039378942.1157,11114,teach_record_20260714_222937_color.mp4
37,1.25438714,1784039379.05419421,949095.99821700,1784039378975.4717,11115,teach_record_20260714_222937_color.mp4
38,1.28800130,1784039379.08780837,949096.03080860,1784039379008.8276,11116,teach_record_20260714_222937_color.mp4
39,1.32216454,1784039379.12197161,949096.06527200,1784039379042.1836,11117,teach_record_20260714_222937_color.mp4
40,1.35469913,1784039379.15450621,949096.09774020,1784039379075.5398,11118,teach_record_20260714_222937_color.mp4
41,1.38772464,1784039379.18753171,949096.13062540,1784039379108.8958,11119,teach_record_20260714_222937_color.mp4
42,1.42074966,1784039379.22055674,949096.16441110,1784039379142.2517,11120,teach_record_20260714_222937_color.mp4
43,1.45458674,1784039379.25439382,949096.19759440,1784039379175.6077,11121,teach_record_20260714_222937_color.mp4
44,1.48765230,1784039379.28745937,949096.23084080,1784039379208.9634,11122,teach_record_20260714_222937_color.mp4
45,1.52131367,1784039379.32112074,949096.26437770,1784039379242.3193,11123,teach_record_20260714_222937_color.mp4
46,1.55218935,1784039379.35199642,949096.29730140,1784039379275.6753,11124,teach_record_20260714_222937_color.mp4
47,1.58750200,1784039379.38730907,949096.33109890,1784039379309.0312,11125,teach_record_20260714_222937_color.mp4
48,1.62152600,1784039379.42133307,949096.36459420,1784039379342.3870,11126,teach_record_20260714_222937_color.mp4
49,1.65396118,1784039379.45376825,949096.39735890,1784039379375.7454,11127,teach_record_20260714_222937_color.mp4
50,1.68734050,1784039379.48714757,949096.43058510,1784039379409.1028,11128,teach_record_20260714_222937_color.mp4
51,1.72110510,1784039379.52091217,949096.46424210,1784039379442.4602,11129,teach_record_20260714_222937_color.mp4
52,1.75411606,1784039379.55392313,949096.49772900,1784039379475.8176,11130,teach_record_20260714_222937_color.mp4
53,1.78772163,1784039379.58752871,949096.53083950,1784039379509.1750,11131,teach_record_20260714_222937_color.mp4
54,1.82339978,1784039379.62320685,949096.56619310,1784039379542.5325,11132,teach_record_20260714_222937_color.mp4
55,1.85370302,1784039379.65351009,949096.59819570,1784039379575.8899,11133,teach_record_20260714_222937_color.mp4
56,1.88895392,1784039379.68876100,949096.63197070,1784039379609.2473,11134,teach_record_20260714_222937_color.mp4
57,1.92192435,1784039379.72173142,949096.66474420,1784039379642.6047,11135,teach_record_20260714_222937_color.mp4
58,1.95579100,1784039379.75559807,949096.69898450,1784039379675.9622,11136,teach_record_20260714_222937_color.mp4
59,1.98676014,1784039379.78656721,949096.73087280,1784039379709.3196,11137,teach_record_20260714_222937_color.mp4
60,2.02128673,1784039379.82109380,949096.76453160,1784039379742.6770,11138,teach_record_20260714_222937_color.mp4
61,2.05453658,1784039379.85434365,949096.79767360,1784039379776.0344,11139,teach_record_20260714_222937_color.mp4
62,2.08813715,1784039379.88794422,949096.83128690,1784039379809.3918,11140,teach_record_20260714_222937_color.mp4
63,2.12183857,1784039379.92164564,949096.86522920,1784039379842.7490,11141,teach_record_20260714_222937_color.mp4
64,2.15503430,1784039379.95484138,949096.89801350,1784039379876.1064,11142,teach_record_20260714_222937_color.mp4
