frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02484727,1785745921.82264805,331993.67705020,1785745921742.5725,4395,teach_record_20260803_163201_color.mp4
1,0.05645037,1785745921.85425115,331993.70865090,1785745921775.9304,4396,teach_record_20260803_163201_color.mp4
2,0.09127903,1785745921.88907981,331993.74356470,1785745921809.2886,4397,teach_record_20260803_163201_color.mp4
3,0.12182331,1785745921.91962409,331993.77511880,1785745921842.6465,4398,teach_record_20260803_163201_color.mp4
4,0.15721607,1785745921.95501685,331993.80996510,1785745921876.0046,4399,teach_record_20260803_163201_color.mp4
5,0.19092345,1785745921.98872423,331993.84291740,1785745921909.3628,4400,teach_record_20260803_163201_color.mp4
6,0.22420120,1785745922.02200198,331993.87692510,1785745921942.7207,4401,teach_record_20260803_163201_color.mp4
7,0.25639367,1785745922.05419445,331993.90855820,1785745921976.0789,4402,teach_record_20260803_163201_color.mp4
8,0.29188585,1785745922.08968663,331993.94385560,1785745922009.4368,4403,teach_record_20260803_163201_color.mp4
9,0.32504201,1785745922.12284279,331993.97712440,1785745922042.7949,4404,teach_record_20260803_163201_color.mp4
10,0.35720491,1785745922.15500569,331994.00983280,1785745922076.1531,4405,teach_record_20260803_163201_color.mp4
11,0.39017653,1785745922.18797731,331994.04239340,1785745922109.5110,4406,teach_record_20260803_163201_color.mp4
12,0.42385840,1785745922.22165918,331994.07614570,1785745922142.8691,4407,teach_record_20260803_163201_color.mp4
13,0.45770264,1785745922.25550342,331994.10963140,1785745922176.2271,4408,teach_record_20260803_163201_color.mp4
14,0.49090171,1785745922.28870249,331994.14272490,1785745922209.5852,4409,teach_record_20260803_163201_color.mp4
15,0.52335644,1785745922.32115722,331994.17559680,1785745922242.9434,4410,teach_record_20260803_163201_color.mp4
16,0.55744648,1785745922.35524726,331994.20928670,1785745922276.3013,4411,teach_record_20260803_163201_color.mp4
17,0.58975148,1785745922.38755226,331994.24259920,1785745922309.6594,4412,teach_record_20260803_163201_color.mp4
18,0.62419868,1785745922.42199945,331994.27623790,1785745922343.0176,4413,teach_record_20260803_163201_color.mp4
19,0.65613890,1785745922.45393968,331994.30893700,1785745922376.3755,4414,teach_record_20260803_163201_color.mp4
20,0.69018888,1785745922.48798966,331994.34293270,1785745922409.7336,4415,teach_record_20260803_163201_color.mp4
21,0.72450900,1785745922.52230978,331994.37653500,1785745922443.0918,4416,teach_record_20260803_163201_color.mp4
22,0.75720644,1785745922.55500722,331994.40911060,1785745922476.4497,4417,teach_record_20260803_163201_color.mp4
23,0.78871965,1785745922.58652043,331994.44239450,1785745922509.8079,4418,teach_record_20260803_163201_color.mp4
24,0.82376361,1785745922.62156439,331994.47596280,1785745922543.1660,4419,teach_record_20260803_163201_color.mp4
25,0.85700965,1785745922.65481043,331994.50892800,1785745922576.5247,4420,teach_record_20260803_163201_color.mp4
26,0.89230680,1785745922.69010758,331994.54415570,1785745922609.8804,4421,teach_record_20260803_163201_color.mp4
27,0.92654371,1785745922.72434449,331994.57837130,1785745922643.2358,4422,teach_record_20260803_163201_color.mp4
28,0.95826864,1785745922.75606942,331994.61047860,1785745922676.5916,4423,teach_record_20260803_163201_color.mp4
29,0.99061131,1785745922.78841209,331994.64291590,1785745922709.9473,4424,teach_record_20260803_163201_color.mp4
30,1.02388167,1785745922.82168245,331994.67613830,1785745922743.3027,4425,teach_record_20260803_163201_color.mp4
31,1.05599999,1785745922.85380077,331994.70912870,1785745922776.6582,4426,teach_record_20260803_163201_color.mp4
32,1.09052014,1785745922.88832092,331994.74253520,1785745922810.0139,4427,teach_record_20260803_163201_color.mp4
33,1.12422991,1785745922.92203069,331994.77623420,1785745922843.3694,4428,teach_record_20260803_163201_color.mp4
34,1.15932059,1785745922.95712137,331994.81131730,1785745922876.7249,4429,teach_record_20260803_163201_color.mp4
35,1.19122052,1785745922.98902130,331994.84338950,1785745922910.0803,4430,teach_record_20260803_163201_color.mp4
36,1.22408438,1785745923.02188516,331994.87660410,1785745922943.4358,4431,teach_record_20260803_163201_color.mp4
