time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02568173,5,3.09991645,-1.69256480,-3.09683998,0.03509521,1.48421383,-0.00152588,3.09979145,-1.64483580,-3.09771498,0.01951387,1.48965329,-0.00110205,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,0.01464844,-0.01464844,1.00021362,2.58001123,2.57949829,-0.04882812
0.03884935,10,3.09991645,-1.69256480,-3.09683998,0.04234314,1.48306943,-0.00190735,3.09987549,-1.64307096,-3.09712670,0.03346205,1.48547731,-0.00152433,3.09953498,-1.65022166,-3.09951027,0.00000000,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.01464844,0.01464844,0.00000000,1.00021362,2.58025744,2.57949829,-0.02441406
0.05306506,15,3.09991645,-1.69256480,-3.09683998,0.04768372,1.48154355,-0.00343323,3.09990302,-1.64249265,-3.09693394,0.04194837,1.48311430,-0.00240684,3.09953498,-1.65022166,-3.09951027,0.00038147,1.49985409,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.04394531,-0.01464844,-0.01464844,0.99983215,2.58002927,2.57949829,0.00000000
0.06640267,20,3.09991645,-1.69256480,-3.09683998,0.05264282,1.48039914,-0.00762939,3.09991205,-1.64230315,-3.09687077,0.04804715,1.48153933,-0.00493613,3.09953498,-1.65022166,-3.09951027,0.00152588,1.49909115,-0.00038147,-0.00488281,-0.00976562,0.00488281,0.07324219,-0.04394531,-0.01464844,0.99983215,2.57967228,2.57987976,0.00000000
0.07775283,25,3.09991645,-1.69256480,-3.09683998,0.05607605,1.47963620,-0.01220703,3.09991501,-1.64224106,-3.09685007,0.05277473,1.48041021,-0.00869218,3.09953498,-1.65022166,-3.09951027,0.00343323,1.49794674,-0.00038147,-0.00976562,-0.00488281,0.00976562,0.16113281,-0.11718750,-0.01464844,0.99983215,2.57955530,2.57949829,-0.04882812
0.09323001,30,3.09991645,-1.69256480,-3.09683998,0.06065369,1.47734738,-0.02326965,3.09991597,-1.64222071,-3.09684329,0.05700990,1.47898089,-0.01570775,3.09953498,-1.65022166,-3.09951027,0.00724792,1.49565793,-0.00038147,-0.00976562,-0.00488281,0.00488281,0.26367188,-0.10253906,-0.01464844,0.99983215,2.57951697,2.57949829,-0.02441406
0.10603118,35,3.09991645,-1.69256480,-3.09683998,0.06332397,1.47620297,-0.03395081,3.09991629,-1.64221405,-3.09684107,0.06057236,1.47724605,-0.02527175,3.09953498,-1.65022166,-3.09951027,0.01068115,1.49451352,-0.00076294,-0.00488281,-0.00488281,0.00488281,0.23437500,-0.08789062,-0.02929688,0.99983215,2.57960207,2.57987976,-0.02441406
0.12021780,40,3.09991645,-1.69256480,-3.09683998,0.06561279,1.47582150,-0.04844666,3.09991640,-1.64221186,-3.09684034,0.06352120,1.47640744,-0.03735221,3.09953498,-1.65022166,-3.09951027,0.01525879,1.49298764,-0.00114441,-0.00976562,-0.00488281,0.00488281,0.30761719,-0.10253906,-0.02929688,0.99983215,2.57953230,2.57949829,0.00000000
0.13407230,45,3.10029792,-1.69256480,-3.09683998,0.06675720,1.47544003,-0.05950928,3.10014165,-1.64221114,-3.09684010,0.06536626,1.47587617,-0.04946125,3.09953498,-1.65022166,-3.09951027,0.01907349,1.49146176,-0.00190735,0.00000000,-0.00488281,0.00488281,0.23437500,-0.05859375,-0.08789062,0.99983215,2.57950943,2.57949829,-0.02441406
0.14845276,50,3.10106086,-1.69256480,-3.09683998,0.06866455,1.47429562,-0.07019043,3.10054822,-1.64221091,-3.09684002,0.06718289,1.47509527,-0.06125092,3.09953498,-1.65022166,-3.09951027,0.02326965,1.49031735,-0.00534058,-0.00976562,-0.00488281,0.00488281,0.29296875,-0.10253906,-0.32226562,0.99716187,2.57731176,2.57949829,-0.02441406
0.16176558,55,3.10106086,-1.69256480,-3.09683998,0.06942749,1.47391415,-0.07858276,3.10089288,-1.64221083,-3.09684000,0.06854159,1.47433243,-0.07122964,3.09953498,-1.65022166,-3.09951027,0.02555847,1.48802853,-0.00953674,-0.00488281,-0.00488281,0.00488281,0.24902344,-0.14648438,-0.27832031,0.98762512,2.56675251,2.57949829,-0.02441406
0.17577052,60,3.10182379,-1.69256480,-3.09683998,0.07171631,1.47353268,-0.08850098,3.10139961,-1.64221081,-3.09683999,0.07023607,1.47379474,-0.08113691,3.09953498,-1.65022166,-3.09951027,0.02975464,1.48650265,-0.01182556,-0.00488281,-0.00488281,0.00488281,0.24902344,-0.08789062,-0.20507812,0.96855164,2.54675251,2.57949829,-0.04882812
0.18984532,65,3.10182379,-1.69256480,-3.09683998,0.07247925,1.47353268,-0.09346008,3.10168480,-1.64221080,-3.09683999,0.07153278,1.47361855,-0.08853091,3.09953498,-1.65022166,-3.09951027,0.03242493,1.48535824,-0.01831055,-0.00488281,0.00000000,-0.00000000,0.17578125,-0.04394531,-0.55664062,0.95214844,2.52675251,2.57911682,-0.04882812
0.20389867,70,3.10182379,-1.69256480,-3.09683998,0.07286072,1.47353268,-0.09918213,3.10177825,-1.64221080,-3.09683998,0.07230644,1.47356082,-0.09436186,3.09953498,-1.65022166,-3.09951027,0.03509521,1.48497677,-0.02441406,-0.00488281,0.00000000,-0.00000000,0.14648438,-0.01464844,-0.51269531,0.92887878,2.50675251,2.57873535,-0.02441406
0.21613479,75,3.10220526,-1.69256480,-3.09683998,0.07286072,1.47353268,-0.10185242,3.10188516,-1.64221080,-3.09683998,0.07267909,1.47354190,-0.09853951,3.09953498,-1.65022166,-3.09951027,0.03700256,1.48497677,-0.02937317,-0.00488281,0.00000000,0.00488281,0.13183594,0.01464844,-0.30761719,0.91400146,2.48675251,2.57759094,-0.12207031
0.23188114,80,3.10220526,-1.69256480,-3.09645851,0.07286072,1.47353268,-0.10337830,3.10210037,-1.64221080,-3.09665383,0.07280120,1.47353570,-0.10169116,3.09953498,-1.64984019,-3.09951027,0.03967285,1.48535824,-0.03318787,-0.00488281,0.00488281,0.00488281,0.13183594,-0.00000000,-0.27832031,0.89645386,2.46675251,2.57492065,-0.26855469
0.24688554,85,3.10258673,-1.69256480,-3.09607704,0.07247925,1.47353268,-0.10337830,3.10239611,-1.64221080,-3.09629729,0.07258475,1.47353367,-0.10282546,3.09953498,-1.64984019,-3.09951027,0.04272461,1.48459530,-0.03814697,-0.00976562,0.00976562,0.00976562,0.14648438,-0.02929688,-0.29296875,0.88195801,2.44675251,2.56385803,-0.78125000
