time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02491474,5,3.09991645,-1.78106578,-3.13384255,-0.01373291,1.57309628,0.25367737,3.09979145,-1.62063060,-3.11917673,-0.00895703,1.56886142,0.25230237,3.09953498,-1.59986766,-3.09951027,-0.00038147,1.56050778,0.24948120,-0.00488281,-0.00488281,0.00488281,0.00000000,0.01464844,0.00000000,-2.97889709,-0.11943860,-0.11558533,-0.02441406
0.04106832,10,3.09991645,-1.78106578,-3.13384255,-0.01602173,1.57309628,0.25367737,3.09987549,-1.64063060,-3.12903685,-0.01333567,1.57167735,0.25322681,3.09953498,-1.59986766,-3.09951027,-0.00038147,1.56050778,0.24948120,0.00000000,-0.00976562,-0.00000000,-0.02929688,0.02929688,-0.01464844,-2.97927856,-0.12071320,-0.11558533,-0.02441406
0.05588245,15,3.09991645,-1.78106578,-3.13384255,-0.01678467,1.57271481,0.25367737,3.09990302,-1.66063060,-3.13226782,-0.01550411,1.57248472,0.25352973,3.09953498,-1.59986766,-3.09989174,-0.00076294,1.56050778,0.24948120,-0.00488281,-0.00488281,-0.00976562,-0.02929688,0.01464844,-0.01464844,-2.97927856,-0.12130664,-0.11596680,-0.07324219
0.07292533,20,3.09991645,-1.78106578,-3.13384255,-0.01831055,1.57271481,0.25367737,3.09991205,-1.68063060,-3.13332654,-0.01699006,1.57272731,0.25362899,3.09953498,-1.60024913,-3.10027321,-0.00114441,1.56165219,0.24948120,-0.00488281,-0.03906250,-0.03906250,-0.05859375,0.07324219,-0.01464844,-2.97927856,-0.12140345,-0.11558533,-0.02441406
0.08854699,25,3.09991645,-1.78068431,-3.13384255,-0.01945496,1.57271481,0.25367737,3.09991501,-1.70063060,-3.13367346,-0.01842655,1.57278922,0.25366152,3.09953498,-1.60101206,-3.10103615,-0.00190735,1.56241513,0.24948120,-0.00976562,-0.04882812,-0.03417969,-0.07324219,0.08789062,-0.01464844,-2.97889709,-0.12126696,-0.11558533,0.00000000
0.10090566,30,3.09991645,-1.77953990,-3.13384255,-0.02059937,1.57271481,0.25367737,3.09991597,-1.72063060,-3.13378714,-0.01960564,1.57273919,0.25367217,3.09953498,-1.60253794,-3.10141762,-0.00305176,1.56317807,0.24986267,-0.00488281,-0.12695312,-0.01953125,-0.08789062,0.07324219,0.00000000,-2.97927856,-0.12155060,-0.11558533,-0.02441406
0.11571717,35,3.09991645,-1.77763255,-3.13384255,-0.02136230,1.57271481,0.25405884,3.09991629,-1.74063060,-3.13382439,-0.02053619,1.57272280,0.25375196,3.09953498,-1.60444529,-3.10179909,-0.00381470,1.56355954,0.24986267,-0.00488281,-0.14160156,-0.01953125,-0.05859375,0.02929688,0.00000000,-2.97927856,-0.12164354,-0.11596680,-0.04882812
0.12883711,40,3.09991645,-1.77648814,-3.13384255,-0.02212524,1.57271481,0.25367737,3.09991640,-1.76063060,-3.13383660,-0.02150298,1.57275649,0.25378189,3.09953498,-1.60673411,-3.10218056,-0.00419617,1.56394101,0.24986267,-0.00488281,-0.18554688,-0.01953125,-0.04394531,0.04394531,0.00000000,-2.97889709,-0.12139934,-0.11596680,0.00000000
0.14601183,45,3.09991645,-1.77534373,-3.13384255,-0.02288818,1.57271481,0.25367737,3.09991643,-1.77113935,-3.13384060,-0.02225410,1.57283833,0.25371162,3.09953498,-1.61093028,-3.10294350,-0.00534058,1.56508542,0.24986267,-0.00488281,-0.22460938,-0.04394531,-0.07324219,0.05859375,0.00000000,-2.97737122,-0.12025096,-0.11596680,-0.04882812
0.16052628,50,3.09991645,-1.77343638,-3.13384255,-0.02288818,1.57271481,0.25367737,3.09991644,-1.77344114,-3.13384191,-0.02268041,1.57275529,0.25371984,3.09953498,-1.61436351,-3.10370644,-0.00686646,1.56584836,0.24986267,-0.00488281,-0.24902344,-0.03906250,-0.13183594,0.05859375,-0.02929688,-2.97660828,-0.11783023,-0.11634827,-0.04882812
0.17569876,55,3.09991645,-1.77114756,-3.13384255,-0.02288818,1.57271481,0.25367737,3.09991644,-1.77251692,-3.13384234,-0.02282010,1.57272807,0.25369129,3.09991645,-1.61855967,-3.10485085,-0.00915527,1.56622983,0.24986267,-0.00488281,-0.26855469,-0.05859375,-0.14648438,0.05859375,-0.01464844,-2.97660828,-0.11683388,-0.11596680,-0.02441406
0.19148517,60,3.09991645,-1.76962168,-3.13384255,-0.02288818,1.57271481,0.25367737,3.09991645,-1.77100851,-3.13384248,-0.02298501,1.57271916,0.25368193,3.09953498,-1.62161143,-3.10561379,-0.01106262,1.56737423,0.24986267,-0.00488281,-0.26367188,-0.04882812,-0.16113281,0.10253906,-0.01464844,-2.97660828,-0.11650739,-0.11634827,-0.04882812
