frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.01326180,1782570029.71479583,14883.57979280,1782570029714.5813,772,teach_record_20260627_222029_color.mp4
1,0.04692578,1782570029.74845982,14883.61312030,1782570029748.0037,773,teach_record_20260627_222029_color.mp4
2,0.07931280,1782570029.78084683,14883.64612000,1782570029781.3926,774,teach_record_20260627_222029_color.mp4
3,0.11291194,1782570029.81444597,14883.67973120,1782570029814.6819,775,teach_record_20260627_222029_color.mp4
4,0.14657426,1782570029.84810829,14883.71368930,1782570029848.0149,776,teach_record_20260627_222029_color.mp4
5,0.18000555,1782570029.88153958,14883.74680120,1782570029881.2661,777,teach_record_20260627_222029_color.mp4
6,0.21364641,1782570029.91518044,14883.77999410,1782570029914.7185,778,teach_record_20260627_222029_color.mp4
7,0.24736476,1782570029.94889879,14883.81349380,1782570029948.0120,779,teach_record_20260627_222029_color.mp4
8,0.28010392,1782570029.98163795,14883.84646480,1782570029981.4280,780,teach_record_20260627_222029_color.mp4
9,0.31346321,1782570030.01499724,14883.88017520,1782570030014.7788,781,teach_record_20260627_222029_color.mp4
10,0.34723306,1782570030.04876709,14883.91361890,1782570030048.1941,782,teach_record_20260627_222029_color.mp4
11,0.38003182,1782570030.08156586,14883.94685640,1782570030081.5244,783,teach_record_20260627_222029_color.mp4
12,0.41303372,1782570030.11456776,14883.97995270,1782570030114.8069,784,teach_record_20260627_222029_color.mp4
13,0.44626546,1782570030.14779949,14884.01364410,1782570030148.2292,785,teach_record_20260627_222029_color.mp4
14,0.47926998,1782570030.18080401,14884.04688860,1782570030181.5796,786,teach_record_20260627_222029_color.mp4
15,0.51289868,1782570030.21443272,14884.07981310,1782570030214.8633,787,teach_record_20260627_222029_color.mp4
16,0.54846001,1782570030.24999404,14884.11540180,1782570030248.2437,788,teach_record_20260627_222029_color.mp4
17,0.58102727,1782570030.28256130,14884.14747320,1782570030281.6904,789,teach_record_20260627_222029_color.mp4
18,0.61461115,1782570030.31614518,14884.18156910,1782570030315.0178,790,teach_record_20260627_222029_color.mp4
19,0.64727402,1782570030.34880805,14884.21418930,1782570030348.3103,791,teach_record_20260627_222029_color.mp4
20,0.68071485,1782570030.38224888,14884.24768310,1782570030381.6672,792,teach_record_20260627_222029_color.mp4
21,0.71396589,1782570030.41549993,14884.28027410,1782570030415.0488,793,teach_record_20260627_222029_color.mp4
22,0.74880815,1782570030.45034218,14884.31512280,1782570030448.4829,794,teach_record_20260627_222029_color.mp4
23,0.78042555,1782570030.48195958,14884.34677750,1782570030481.8369,795,teach_record_20260627_222029_color.mp4
24,0.81338334,1782570030.51491737,14884.38039300,1782570030515.1455,796,teach_record_20260627_222029_color.mp4
25,0.84646249,1782570030.54799652,14884.41416060,1782570030548.5117,797,teach_record_20260627_222029_color.mp4
26,0.88075662,1782570030.58229065,14884.44800220,1782570030581.7771,798,teach_record_20260627_222029_color.mp4
27,0.91347337,1782570030.61500740,14884.48081600,1782570030615.2769,799,teach_record_20260627_222029_color.mp4
28,0.94574761,1782570030.64728165,14884.51330370,1782570030648.5415,800,teach_record_20260627_222029_color.mp4
29,0.98168397,1782570030.68321800,14884.54840960,1782570030681.9319,801,teach_record_20260627_222029_color.mp4
30,1.01304436,1782570030.71457839,14884.58003450,1782570030715.3101,802,teach_record_20260627_222029_color.mp4
31,1.04708552,1782570030.74861956,14884.61362460,1782570030748.7607,803,teach_record_20260627_222029_color.mp4
32,1.08098865,1782570030.78252268,14884.64708770,1782570030782.0525,804,teach_record_20260627_222029_color.mp4
33,1.11498260,1782570030.81651664,14884.68108570,1782570030815.3936,805,teach_record_20260627_222029_color.mp4
34,1.14841866,1782570030.84995270,14884.71467810,1782570030848.7024,806,teach_record_20260627_222029_color.mp4
35,1.18095136,1782570030.88248539,14884.74793700,1782570030882.1953,807,teach_record_20260627_222029_color.mp4
36,1.21447730,1782570030.91601133,14884.78063610,1782570030915.4629,808,teach_record_20260627_222029_color.mp4
37,1.24742770,1782570030.94896173,14884.81359600,1782570030948.7312,809,teach_record_20260627_222029_color.mp4
38,1.28106332,1782570030.98259735,14884.84808710,1782570030982.1616,810,teach_record_20260627_222029_color.mp4
39,1.31429482,1782570031.01582885,14884.88065830,1782570031015.5918,811,teach_record_20260627_222029_color.mp4
40,1.34693718,1782570031.04847121,14884.91398710,1782570031048.7939,812,teach_record_20260627_222029_color.mp4
41,1.38000607,1782570031.08154011,14884.94690700,1782570031082.1917,813,teach_record_20260627_222029_color.mp4
42,1.41358280,1782570031.11511683,14884.98065060,1782570031115.5652,814,teach_record_20260627_222029_color.mp4
43,1.44819260,1782570031.14972663,14885.01460530,1782570031148.9243,815,teach_record_20260627_222029_color.mp4
44,1.48066473,1782570031.18219876,14885.04707590,1782570031182.3203,816,teach_record_20260627_222029_color.mp4
45,1.51412821,1782570031.21566224,14885.08088210,1782570031215.6694,817,teach_record_20260627_222029_color.mp4
46,1.54735065,1782570031.24888468,14885.11476190,1782570031249.1230,818,teach_record_20260627_222029_color.mp4
47,1.58160162,1782570031.28313565,14885.14798420,1782570031282.3884,819,teach_record_20260627_222029_color.mp4
48,1.61444974,1782570031.31598377,14885.18071910,1782570031315.7483,820,teach_record_20260627_222029_color.mp4
49,1.64892006,1782570031.35045409,14885.21529820,1782570031349.1013,821,teach_record_20260627_222029_color.mp4
50,1.68115592,1782570031.38268995,14885.24721950,1782570031382.4751,822,teach_record_20260627_222029_color.mp4
51,1.71397519,1782570031.41550922,14885.28095230,1782570031415.7656,823,teach_record_20260627_222029_color.mp4
52,1.74727035,1782570031.44880438,14885.31427330,1782570031449.3811,824,teach_record_20260627_222029_color.mp4
53,1.78138542,1782570031.48291945,14885.34780510,1782570031482.5527,825,teach_record_20260627_222029_color.mp4
54,1.81520462,1782570031.51673865,14885.38142550,1782570031515.9182,826,teach_record_20260627_222029_color.mp4
55,1.84999204,1782570031.55152607,14885.41635130,1782570031549.2483,827,teach_record_20260627_222029_color.mp4
56,1.88099122,1782570031.58252525,14885.44733400,1782570031582.6035,828,teach_record_20260627_222029_color.mp4
57,1.91516495,1782570031.61669898,14885.48142940,1782570031616.0613,829,teach_record_20260627_222029_color.mp4
58,1.94830871,1782570031.64984274,14885.51451740,1782570031649.3137,830,teach_record_20260627_222029_color.mp4
