time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.03439713,5,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47925473,-0.00038147,3.09979145,-1.64611814,-3.09925380,0.00283350,1.48664975,-0.00038147,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00976562,-0.00000000,-0.01464844,0.01464844,-0.01464844,1.00097656,2.58103711,2.57949829,-0.02441406
0.04919410,10,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47658444,-0.00038147,3.09987549,-1.64477350,-3.09916976,0.00400612,1.48043391,-0.00038147,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.02929688,-0.00000000,-0.01464844,1.00097656,2.58154135,2.57949829,-0.02441406
0.06205034,15,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47505856,-0.00038147,3.09990302,-1.64433289,-3.09914222,0.00439036,1.47704066,-0.00038147,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49947262,-0.00038147,-0.00488281,-0.00488281,-0.00000000,0.00000000,-0.04394531,-0.02929688,1.00097656,2.58170658,2.57949829,-0.02441406
0.07746410,20,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47391415,-0.00038147,3.09991205,-1.64418851,-3.09913320,0.00451627,1.47518913,-0.00042053,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,-0.13183594,-0.02929688,1.00097656,2.58176072,2.57949829,-0.02441406
0.09152317,25,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47315121,-0.00038147,3.09991501,-1.64414120,-3.09913024,0.00455753,1.47406949,-0.00039427,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49489499,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.13183594,-0.01464844,1.00097656,2.58177846,2.57949829,0.00000000
0.10722351,30,3.09991645,-1.69447215,-3.09912880,0.00457764,1.47238827,-0.00038147,3.09991597,-1.64412570,-3.09912927,0.00457105,1.47315060,-0.00038566,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49260617,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.14648438,-0.01464844,1.00097656,2.58178428,2.57949829,-0.02441406
0.12116337,35,3.09991645,-1.69447215,-3.09912880,0.00419617,1.47162533,-0.00038147,3.09991629,-1.64412062,-3.09912896,0.00431901,1.47227552,-0.00041409,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49069882,-0.00038147,-0.00488281,0.00000000,0.00976562,-0.01464844,-0.14648438,-0.01464844,1.00135803,2.58211455,2.57987976,-0.02441406
0.13470173,40,3.09991645,-1.69447215,-3.09912880,0.00419617,1.47124386,-0.00038147,3.09991640,-1.64411896,-3.09912885,0.00423642,1.47165223,-0.00042341,3.09953498,-1.65022166,-3.09951027,0.00000000,1.48879147,-0.00038147,0.00000000,0.00000000,0.00488281,-0.01464844,-0.10253906,-0.02929688,1.00135803,2.58232922,2.57949829,-0.02441406
0.14668179,45,3.09991645,-1.69447215,-3.09912880,0.00419617,1.47086239,-0.00038147,3.09991643,-1.64411841,-3.09912882,0.00420936,1.47115246,-0.00039521,3.09953498,-1.65022166,-3.09951027,0.00000000,1.48726559,-0.00038147,-0.00488281,0.00488281,0.00488281,-0.01464844,-0.10253906,-0.02929688,1.00097656,2.58222744,2.57987976,-0.02441406
0.16008186,50,3.09991645,-1.69447215,-3.09912880,0.00381470,1.47009945,-0.00038147,3.09991644,-1.64411823,-3.09912881,0.00412420,1.47059489,-0.00038597,3.09953498,-1.64984019,-3.09951027,0.00000000,1.48612118,-0.00038147,-0.00488281,0.00488281,0.00488281,0.00000000,-0.07324219,-0.01464844,1.00097656,2.58219409,2.57987976,0.00000000
