time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02201104,5,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.58966922,-2.70004272,3.08809088,2.73532852,-1.59374367,0.00305176,-1.57625308,-2.03361511,3.08809088,2.72904824,-1.59079750,0.00305176,-1.58356571,-2.03361511,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.97546387,-0.18497900,-0.18577576,-0.04882812
0.03498435,10,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.58966922,-2.70004272,3.08809088,2.73726144,-1.59458407,0.00300293,-1.57373188,-2.03361511,3.08809088,2.72904824,-1.59079750,0.00305176,-1.58356571,-2.03399658,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.97584534,-0.18507364,-0.18577576,0.00000000
0.04928017,15,3.13539313,2.73171853,-1.59346779,-0.02098083,-1.58966922,-2.70004272,3.08809088,2.73789481,-1.59485945,0.00295946,-1.57290574,-2.03361511,3.08809088,2.72904824,-1.59079750,0.00305176,-1.58356571,-2.03361511,-0.00488281,-0.00488281,-0.00000000,-0.01464844,0.01464844,-0.01464844,-2.97546387,-0.18501456,-0.18577576,-0.02441406
0.06251669,20,3.13539313,2.73171853,-1.59346779,-0.02098083,-1.58966922,-2.70004272,3.08809088,2.73810236,-1.59494969,0.00294522,-1.57263503,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58356571,-2.03361511,0.00000000,0.00000000,0.00488281,-0.02929688,0.01464844,0.00000000,-2.97584534,-0.18512923,-0.18577576,0.00000000
0.07505369,25,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.58966922,-2.70004272,3.08809088,2.73817037,-1.59497926,0.00301685,-1.57254632,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58356571,-2.03361511,-0.00488281,0.00488281,0.00488281,-0.02929688,0.04394531,-0.01464844,-2.97584534,-0.18530743,-0.18577576,-0.02441406
0.09142256,30,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.58966922,-2.70004272,3.08809088,2.73819265,-1.59498895,0.00300907,-1.57251725,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58318424,-2.03361511,-0.00488281,0.00000000,0.00488281,-0.01464844,0.01464844,-0.02929688,-2.97546387,-0.18505308,-0.18577576,-0.02441406
0.10526013,35,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73819996,-1.59499212,0.00303777,-1.57258402,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58318424,-2.03361511,-0.00488281,0.00488281,0.00488281,-0.02929688,0.02929688,-0.01464844,-2.97546387,-0.18512989,-0.18539429,0.00000000
0.11876869,40,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73820235,-1.59499316,0.00304717,-1.57260590,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58318424,-2.03361511,-0.00488281,0.00000000,-0.00000000,0.00000000,0.01464844,0.00000000,-2.97546387,-0.18497049,-0.18577576,-0.02441406
0.13177276,45,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73820313,-1.59499350,0.00305026,-1.57272293,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58318424,-2.03361511,-0.00488281,0.00000000,0.00488281,-0.01464844,0.02929688,-0.01464844,-2.97584534,-0.18499272,-0.18577576,-0.02441406
0.14550662,50,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73820339,-1.59499362,0.00305127,-1.57278277,-2.03361511,3.08809088,2.72942971,-1.59079750,0.00305176,-1.58318424,-2.03399658,-0.00488281,0.00000000,0.00488281,0.00000000,0.01464844,-0.01464844,-2.97584534,-0.18510255,-0.18577576,-0.02441406
0.15831518,55,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73820347,-1.59499365,0.00305160,-1.57285120,-2.03361511,3.08809088,2.72981118,-1.59079750,0.00305176,-1.58280277,-2.03361511,0.00000000,-0.00488281,0.00488281,-0.01464844,0.02929688,0.00000000,-2.97584534,-0.18529869,-0.18577576,-0.04882812
0.17293477,60,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59005069,-2.70004272,3.08809088,2.73820350,-1.59499366,0.00301264,-1.57287362,-2.03361511,3.08809088,2.72981118,-1.59079750,0.00305176,-1.58280277,-2.03361511,-0.00488281,0.00000000,0.00488281,0.00000000,0.02929688,-0.01464844,-2.97546387,-0.18506975,-0.18577576,-0.02441406
0.18651032,65,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59043216,-2.70004272,3.08809088,2.73820351,-1.59499367,0.00303894,-1.57295727,-2.03361511,3.08809088,2.72981118,-1.59079750,0.00305176,-1.58242130,-2.03361511,-0.00488281,0.00000000,-0.00000000,-0.02929688,0.02929688,0.00000000,-2.97584534,-0.18502525,-0.18577576,-0.02441406
0.19979978,70,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59043216,-2.70004272,3.08809088,2.73820351,-1.59499367,0.00304756,-1.57316485,-2.03361511,3.08809088,2.72981118,-1.59079750,0.00305176,-1.58203983,-2.03361511,-0.00488281,0.00000000,-0.00000000,-0.01464844,0.04394531,-0.01464844,-2.97546387,-0.18494499,-0.18577576,-0.02441406
0.21425271,75,3.13539313,2.73171853,-1.59346779,-0.02098083,-1.59081363,-2.70004272,3.08809088,2.73820352,-1.59499367,0.00297409,-1.57337020,-2.03361511,3.08809088,2.72981118,-1.59117897,0.00305176,-1.58165836,-2.03361511,-0.00488281,-0.00488281,0.00488281,0.00000000,0.05859375,-0.01464844,-2.97546387,-0.18495385,-0.18539429,0.00000000
0.22612333,80,3.13539313,2.73171853,-1.59346779,-0.02059937,-1.59119510,-2.70004272,3.08809088,2.73820352,-1.59499367,0.00302631,-1.57369396,-2.03361511,3.08809088,2.72981118,-1.59117897,0.00305176,-1.58127689,-2.03361511,-0.00488281,0.00000000,-0.00000000,-0.01464844,0.05859375,0.00000000,-2.97584534,-0.18510934,-0.18577576,-0.02441406
0.24088812,85,3.13539313,2.73171853,-1.59384926,-0.02059937,-1.59348392,-2.70004272,3.08809088,2.73820352,-1.59517983,0.00304342,-1.57493799,-2.03361511,3.08809088,2.72981118,-1.59117897,0.00305176,-1.58051395,-2.03399658,-0.00488281,-0.00488281,0.00488281,-0.02929688,0.08789062,0.00000000,-2.97546387,-0.18502626,-0.18577576,0.00000000
0.25303841,90,3.13539313,2.73171853,-1.59461220,-0.02059937,-1.59500980,-2.70004272,3.08809088,2.73820352,-1.59561265,0.00304903,-1.57649065,-2.03361511,3.08809088,2.72981118,-1.59117897,0.00305176,-1.57975101,-2.03399658,0.00000000,-0.00488281,0.00488281,-0.01464844,0.07324219,0.00000000,-2.97546387,-0.18483888,-0.18577576,-0.02441406
0.26720238,95,3.13539313,2.73171853,-1.59499367,-0.02059937,-1.59539127,-2.70004272,3.08809088,2.73820352,-1.59610324,0.00305086,-1.57762553,-2.03361511,3.08809088,2.73019265,-1.59117897,0.00305176,-1.57898807,-2.03399658,-0.00488281,0.00000000,-0.00000000,-0.02929688,0.05859375,-0.02929688,-2.97546387,-0.18491908,-0.18577576,-0.02441406
0.28201270,100,3.13539313,2.73171853,-1.59613808,-0.02059937,-1.59539127,-2.70004272,3.08809088,2.73820352,-1.59690205,0.00305146,-1.57802865,-2.03361511,3.08809088,2.73019265,-1.59117897,0.00305176,-1.57898807,-2.03399658,-0.00488281,0.00000000,-0.00000000,-0.01464844,0.04394531,-0.02929688,-2.97546387,-0.18500786,-0.18577576,-0.02441406
