frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.01607347,1784039265.10394979,948982.04764990,1784039265025.2297,7699,teach_record_20260714_222745_color.mp4
1,0.04957628,1784039265.13745260,948982.08168220,1784039265058.5867,7700,teach_record_20260714_222745_color.mp4
2,0.08236814,1784039265.17024446,948982.11361980,1784039265091.9436,7701,teach_record_20260714_222745_color.mp4
3,0.11595917,1784039265.20383549,948982.14688800,1784039265125.3005,7702,teach_record_20260714_222745_color.mp4
4,0.14986181,1784039265.23773813,948982.18106460,1784039265158.6592,7703,teach_record_20260714_222745_color.mp4
5,0.18345523,1784039265.27133155,948982.21430150,1784039265192.0181,7704,teach_record_20260714_222745_color.mp4
6,0.21639276,1784039265.30426908,948982.24744400,1784039265225.3770,7705,teach_record_20260714_222745_color.mp4
7,0.24946260,1784039265.33733892,948982.28101900,1784039265258.7361,7706,teach_record_20260714_222745_color.mp4
8,0.28356743,1784039265.37144375,948982.31487540,1784039265292.0950,7707,teach_record_20260714_222745_color.mp4
9,0.31490231,1784039265.40277863,948982.34682450,1784039265325.4541,7708,teach_record_20260714_222745_color.mp4
10,0.34768462,1784039265.43556094,948982.38027920,1784039265358.8130,7709,teach_record_20260714_222745_color.mp4
11,0.38255858,1784039265.47043490,948982.41385850,1784039265392.1719,7710,teach_record_20260714_222745_color.mp4
12,0.41624784,1784039265.50412416,948982.44841050,1784039265425.5310,7711,teach_record_20260714_222745_color.mp4
13,0.44935536,1784039265.53723168,948982.48031040,1784039265458.8899,7712,teach_record_20260714_222745_color.mp4
14,0.48286247,1784039265.57073879,948982.51403160,1784039265492.2490,7713,teach_record_20260714_222745_color.mp4
15,0.51701069,1784039265.60488701,948982.54792140,1784039265525.6079,7714,teach_record_20260714_222745_color.mp4
16,0.55035210,1784039265.63822842,948982.58134090,1784039265558.9670,7715,teach_record_20260714_222745_color.mp4
17,0.58208942,1784039265.66996574,948982.61381790,1784039265592.3262,7716,teach_record_20260714_222745_color.mp4
18,0.61691380,1784039265.70479012,948982.64801130,1784039265625.6851,7717,teach_record_20260714_222745_color.mp4
19,0.64996409,1784039265.73784041,948982.68183360,1784039265659.0442,7718,teach_record_20260714_222745_color.mp4
20,0.68254757,1784039265.77042389,948982.71429980,1784039265692.4031,7719,teach_record_20260714_222745_color.mp4
21,0.71675563,1784039265.80463195,948982.74807990,1784039265725.7622,7720,teach_record_20260714_222745_color.mp4
22,0.75066376,1784039265.83854008,948982.78231960,1784039265759.1213,7721,teach_record_20260714_222745_color.mp4
23,0.78458047,1784039265.87245679,948982.81620070,1784039265792.4802,7722,teach_record_20260714_222745_color.mp4
24,0.81681490,1784039265.90469122,948982.84767940,1784039265825.8394,7723,teach_record_20260714_222745_color.mp4
25,0.84993696,1784039265.93781328,948982.88114930,1784039265859.1985,7724,teach_record_20260714_222745_color.mp4
26,0.88551188,1784039265.97338820,948982.91644130,1784039265892.5576,7725,teach_record_20260714_222745_color.mp4
27,0.91531539,1784039266.00319171,948982.94751840,1784039265925.9165,7726,teach_record_20260714_222745_color.mp4
