time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.03305244,5,3.09953498,-1.69904978,-3.09874733,-0.10070801,1.55516720,0.25024414,3.09971515,-1.59965354,-3.09899733,-0.00045776,1.55691720,0.24999414,3.09953498,-1.60063060,-3.09951027,-0.00038147,1.56050778,0.24948120,-0.00976562,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.90069580,-0.00089441,-0.00038147,-0.02441406
0.04703474,10,3.09953498,-1.69904978,-3.09874733,-0.10032654,1.55516720,0.25024414,3.09977419,-1.59928456,-3.09882925,-0.00046750,1.55574064,0.25016222,3.09953498,-1.60063060,-3.09951027,-0.00038147,1.56050778,0.24948120,0.00000000,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.02929688,-2.90069580,-0.00098436,-0.00038147,-0.02441406
0.06016350,15,3.09991645,-1.69904978,-3.09874733,-0.10070801,1.55516720,0.25024414,3.09986983,-1.59916365,-3.09877418,-0.00054699,1.55535511,0.25021730,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.56012631,0.24948120,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.00000000,-0.01464844,-2.90069580,-0.00109197,-0.00038147,-0.02441406
0.07352138,20,3.09991645,-1.69904978,-3.09874733,-0.10032654,1.55516720,0.25024414,3.09985234,-1.59912403,-3.09875613,-0.00051579,1.55522878,0.25023534,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.56012631,0.24948120,-0.00976562,-0.00488281,0.00488281,0.00000000,0.01464844,-0.02929688,-2.90069580,-0.00112722,-0.00038147,-0.04882812
0.08707595,25,3.09991645,-1.69904978,-3.09874733,-0.10070801,1.55516720,0.25024414,3.09989544,-1.59911104,-3.09875022,-0.00059406,1.55526746,0.25024126,3.09953498,-1.60063060,-3.09951027,-0.00038147,1.56012631,0.24948120,-0.00976562,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.02929688,-2.90069580,-0.00113878,-0.00038147,-0.04882812
0.10051870,30,3.09991645,-1.69904978,-3.09874733,-0.10070801,1.55516720,0.25024414,3.09990956,-1.59914585,-3.09874828,-0.00062752,1.55526109,0.25024320,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.56012631,0.24948120,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.90069580,-0.00114256,-0.00038147,-0.04882812
0.11489797,35,3.09991645,-1.69943125,-3.09874733,-0.10032654,1.55554867,0.25024414,3.09979505,-1.59925552,-3.09874764,-0.00054999,1.55533530,0.25024383,3.09953498,-1.60063060,-3.09951027,-0.00038147,1.55974484,0.24948120,-0.00488281,-0.00976562,-0.00000000,-0.02929688,-0.01464844,-0.02929688,-2.90069580,-0.00114380,-0.00038147,-0.02441406
0.12933636,40,3.09953498,-1.69904978,-3.09874733,-0.10032654,1.55516720,0.25024414,3.09976912,-1.59915413,-3.09874743,-0.00043669,1.55527111,0.25024404,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.55974484,0.24948120,-0.00488281,-0.00488281,0.00488281,-0.02929688,0.01464844,-0.01464844,-2.90069580,-0.00108171,-0.00076294,-0.07324219
0.14163065,45,3.09953498,-1.69904978,-3.09874733,-0.10032654,1.55516720,0.25024414,3.09976063,-1.59926202,-3.09874737,-0.00046988,1.55520125,0.25024411,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.55974484,0.24948120,-0.00488281,0.00000000,-0.00000000,-0.02929688,-0.01464844,0.00000000,-2.90069580,-0.00094808,-0.00038147,-0.02441406
0.15488720,50,3.09953498,-1.69904978,-3.09874733,-0.10032654,1.55554867,0.25024414,3.09970120,-1.59918751,-3.09874734,-0.00041044,1.55525465,0.25024413,3.09953498,-1.60024913,-3.09951027,-0.00038147,1.55974484,0.24948120,-0.00488281,-0.00488281,-0.00000000,-0.02929688,0.01464844,-0.01464844,-2.90069580,-0.00090430,-0.00038147,0.00000000
