time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02444386,5,3.09991645,-1.70019419,-3.09951027,-0.00038147,1.49756527,0.00038147,3.09979145,-1.65034666,-3.09951027,-0.00038147,1.49792734,0.00013147,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50061703,-0.00038147,-0.00488281,0.00000000,0.00488281,-0.01464844,0.01464844,-0.01464844,1.00059509,2.58039270,2.57987976,0.00000000
0.04025245,10,3.09991645,-1.70019419,-3.09951027,-0.00038147,1.49756527,0.00000000,3.09987549,-1.65026262,-3.09951027,-0.00038147,1.49717098,0.00016222,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,0.00000000,-0.00976562,0.00976562,0.00000000,0.01464844,0.00000000,1.00059509,2.58056078,2.57987976,0.00000000
0.05585432,15,3.09991645,-1.70019419,-3.09951027,0.00000000,1.49718381,0.00000000,3.09990302,-1.65023508,-3.09951027,-0.00015625,1.49671549,0.00005316,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.00000000,0.00000000,1.00021362,2.58046327,2.57949829,-0.02441406
0.07171464,20,3.09991645,-1.70019419,-3.09951027,0.00114441,1.49718381,0.00000000,3.09991205,-1.65022606,-3.09951027,0.00041889,1.49656624,0.00001742,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.01464844,0.00000000,1.00021362,2.58027116,2.57949829,0.00000000
0.08822203,25,3.09991645,-1.70019419,-3.09951027,0.00267029,1.49718381,0.00000000,3.09991501,-1.65022310,-3.09951027,0.00160198,1.49646850,0.00000571,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49985409,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,0.00000000,1.00021362,2.58010567,2.57949829,-0.02441406
0.10249615,30,3.09991645,-1.70019419,-3.09951027,0.00381470,1.49718381,0.00000000,3.09991597,-1.65022213,-3.09951027,0.00275907,1.49643647,0.00000187,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49947262,-0.00038147,-0.00488281,-0.00488281,0.00976562,-0.01464844,-0.01464844,-0.01464844,1.00059509,2.58016887,2.57949829,0.00000000
0.11473441,35,3.09991645,-1.70019419,-3.09951027,0.00419617,1.49718381,0.00000000,3.09991629,-1.65022181,-3.09951027,0.00369401,1.49642598,0.00000061,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49909115,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.02929688,0.00000000,1.00059509,2.58012709,2.57949829,-0.04882812
0.12965727,40,3.09991645,-1.70019419,-3.09951027,0.00419617,1.49718381,0.00000000,3.09991640,-1.65022171,-3.09951027,0.00403162,1.49642254,0.00000020,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49832821,-0.00038147,-0.00488281,-0.00488281,0.00976562,0.00000000,-0.00000000,-0.02929688,1.00021362,2.58005846,2.57949829,-0.02441406
0.14459682,45,3.09991645,-1.70019419,-3.09951027,0.00419617,1.49718381,0.00000000,3.09991643,-1.65022168,-3.09951027,0.00414225,1.49642141,0.00000007,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49756527,-0.00038147,-0.00976562,-0.00488281,-0.00000000,-0.01464844,-0.02929688,-0.02929688,1.00021362,2.57993832,2.57949829,-0.02441406
0.15786433,50,3.09991645,-1.70019419,-3.09951027,0.00457764,1.49718381,0.00000000,3.09991644,-1.65022167,-3.09951027,0.00436466,1.49642105,0.00000002,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49718381,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.01464844,-0.01464844,-0.01464844,1.00021362,2.57989895,2.57949829,-0.02441406
0.17314339,55,3.09991645,-1.70019419,-3.09912880,0.00419617,1.49718381,0.00000000,3.09983637,-1.65022166,-3.09932412,0.00431241,1.49642092,0.00000001,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00488281,-0.00976562,0.00488281,-0.01464844,-0.00000000,-0.02929688,1.00021362,2.57988605,2.57949829,-0.04882812
0.18671823,60,3.09953498,-1.70019419,-3.09912880,0.00457764,1.49718381,0.00000000,3.09970405,-1.65022166,-3.09919280,0.00442969,1.49642088,0.00000000,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00976562,-0.00488281,0.00488281,0.00000000,0.01464844,-0.02929688,1.00021362,2.57988182,2.57949829,0.00000000
0.20005774,65,3.09953498,-1.70019419,-3.09912880,0.00419617,1.49680234,0.00000000,3.09959038,-1.65022166,-3.09914977,0.00430394,1.49626450,0.00000000,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00488281,-0.00976562,0.00488281,0.00000000,-0.00000000,-0.02929688,1.00021362,2.57980231,2.57949829,-0.02441406
0.21438169,70,3.09953498,-1.70019419,-3.09874733,0.00419617,1.49680234,0.00000000,3.09955313,-1.65022166,-3.09899835,0.00423148,1.49614441,0.00000000,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,0.01464844,-0.01464844,1.00021362,2.57985438,2.57949829,-0.02441406
0.23006034,75,3.09953498,-1.70019419,-3.09836586,0.00419617,1.49680234,0.00038147,3.09954093,-1.65022166,-3.09875329,0.00420774,1.49612263,0.00022522,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,-0.00000000,-0.01464844,1.00021362,2.57987144,2.57949829,0.00000000
0.24492288,80,3.09991645,-1.70019419,-3.09798439,0.00419617,1.49718381,0.00038147,3.09961322,-1.65022166,-3.09841652,0.00419996,1.49614297,0.00033027,3.09953498,-1.65022166,-3.09951027,0.00000000,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,0.02929688,-0.01464844,1.00021362,2.57987704,2.57949829,-0.02441406
0.25752711,85,3.09953498,-1.70019419,-3.09798439,0.00419617,1.49680234,0.00038147,3.09956062,-1.65022166,-3.09812599,0.00419741,1.49618320,0.00036469,3.09953498,-1.65022166,-3.09951027,0.00038147,1.49718381,-0.00038147,0.00000000,-0.00976562,0.00976562,-0.01464844,0.01464844,0.00000000,1.00021362,2.57987887,2.57949829,-0.04882812
0.27088237,90,3.09991645,-1.70019419,-3.09760292,0.00419617,1.49718381,0.00076294,3.09961967,-1.65022166,-3.09784464,0.00419657,1.49621164,0.00063244,3.09953498,-1.65022166,-3.09951027,0.00038147,1.49718381,-0.00038147,0.00000000,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,1.00021362,2.57987947,2.57949829,-0.02441406
0.28466320,95,3.09953498,-1.70019419,-3.09760292,0.00419617,1.49680234,0.00152588,3.09956273,-1.65022166,-3.09768213,0.00424513,1.49627601,0.00108273,3.09953498,-1.65022166,-3.09951027,0.00038147,1.49718381,-0.00038147,0.00000000,-0.00488281,-0.00000000,-0.02929688,0.01464844,-0.01464844,1.00059509,2.58033010,2.57987976,-0.04882812
0.29916048,100,3.09953498,-1.70019419,-3.09760292,0.00419617,1.49718381,0.00267029,3.09954407,-1.65022166,-3.09762888,0.00421221,1.49626354,0.00186834,3.09953498,-1.65022166,-3.09951027,0.00038147,1.49718381,-0.00038147,0.00000000,-0.00488281,0.00488281,0.00000000,-0.00000000,0.00000000,1.00059509,2.58054027,2.57949829,-0.02441406
0.31314850,105,3.09953498,-1.70019419,-3.09760292,0.00419617,1.49718381,0.00305176,3.09964782,-1.65022166,-3.09761143,0.00420142,1.49633025,0.00259366,3.09953498,-1.65022166,-3.09951027,0.00076294,1.49718381,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,-0.00000000,0.00000000,1.00059509,2.58060914,2.57949829,-0.02441406
0.32840037,110,3.09953498,-1.70019419,-3.09760292,0.00419617,1.49718381,0.00305176,3.09957195,-1.65022166,-3.09760571,0.00419789,1.49630328,0.00290165,3.09953498,-1.65022166,-3.09951027,0.00076294,1.49718381,-0.00038147,-0.00488281,-0.00976562,0.00976562,-0.01464844,0.02929688,-0.01464844,1.00059509,2.58063170,2.57949829,-0.04882812
0.34123635,115,3.09953498,-1.70019419,-3.09722145,0.00419617,1.49718381,0.00305176,3.09954709,-1.65022166,-3.09752754,0.00419673,1.49629005,0.00300257,3.09953498,-1.65022166,-3.09951027,0.00076294,1.49718381,-0.00038147,-0.00488281,-0.00976562,0.00488281,0.00000000,-0.00000000,-0.01464844,1.00059509,2.58063910,2.57949829,-0.02441406
0.35434937,120,3.09953498,-1.70019419,-3.09683998,0.00419617,1.49718381,0.00305176,3.09953895,-1.65022166,-3.09713560,0.00419635,1.49625886,0.00303564,3.09953498,-1.65022166,-3.09951027,0.00114441,1.49718381,-0.00038147,-0.00488281,-0.00488281,-0.00000000,-0.01464844,0.01464844,0.00000000,1.00059509,2.58064152,2.57949829,0.00000000
0.36730433,125,3.09953498,-1.70019419,-3.09569558,0.00381470,1.49718381,0.00305176,3.09953628,-1.65022166,-3.09646676,0.00411993,1.49625792,0.00304648,3.09953498,-1.65022166,-3.09951027,0.00114441,1.49718381,0.00000000,-0.00488281,-0.00488281,-0.00000000,-0.01464844,-0.00000000,0.00000000,1.00097656,2.58107713,2.57949829,-0.02441406
0.38383913,130,3.09953498,-1.70019419,-3.09416970,0.00381470,1.49680234,0.00305176,3.09953540,-1.65022166,-3.09536234,0.00391472,1.49622086,0.00305003,3.09953498,-1.65022166,-3.09951027,0.00114441,1.49680234,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,1.00097656,2.58129799,2.57949829,-0.04882812
0.39794445,135,3.09953498,-1.70019419,-3.09188088,0.00381470,1.49680234,0.00305176,3.09953512,-1.65022166,-3.09355391,0.00384747,1.49613792,0.00305119,3.09953498,-1.65022166,-3.09951027,0.00114441,1.49718381,0.00000000,0.00000000,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,1.00097656,2.58159009,2.57987976,-0.02441406
0.41178489,140,3.09953498,-1.70019419,-3.08997353,0.00381470,1.49680234,0.00305176,3.09953502,-1.65022166,-3.09158669,0.00382544,1.49625186,0.00298126,3.09953498,-1.65022166,-3.09951027,0.00152588,1.49718381,0.00000000,-0.00488281,-0.00488281,-0.00000000,0.00000000,-0.00000000,0.00000000,1.00173950,2.58225368,2.57949829,-0.02441406
0.42507267,145,3.09953498,-1.70019419,-3.08768471,0.00381470,1.49718381,0.00305176,3.09953499,-1.65022166,-3.08939544,0.00381822,1.49632642,0.00302866,3.09953498,-1.65022166,-3.09951027,0.00152588,1.49680234,0.00000000,0.00000000,-0.00488281,0.00488281,0.00000000,-0.01464844,-0.02929688,1.00326538,2.58410003,2.57949829,-0.02441406
0.43992424,150,3.09953498,-1.70019419,-3.08348854,0.00381470,1.49680234,0.00267029,3.09953498,-1.65022166,-3.08628691,0.00381585,1.49622134,0.00285803,3.09953498,-1.65022166,-3.09951027,0.00190735,1.49680234,0.00000000,-0.00488281,-0.00488281,0.00488281,0.00000000,0.01464844,0.00000000,1.01737976,2.59683763,2.57949829,-0.02441406
0.45432329,155,3.09953498,-1.70019419,-3.08043679,0.00381470,1.49680234,0.00267029,3.09953498,-1.65022166,-3.08303344,0.00381508,1.49609902,0.00281189,3.09953498,-1.65022166,-3.09951027,0.00190735,1.49680234,0.00038147,-0.00488281,0.00000000,0.00976562,0.01464844,0.01464844,-0.01464844,1.03225708,2.61661769,2.57987976,0.00000000
0.46863818,160,3.09953498,-1.70019419,-3.07585915,0.00381470,1.49680234,0.00267029,3.09953498,-1.65022166,-3.07902545,0.00381482,1.49605893,0.00271669,3.09953498,-1.65022166,-3.09951027,0.00228882,1.49680234,0.00038147,-0.00488281,-0.00488281,0.00976562,0.00000000,0.01464844,-0.01464844,1.03530884,2.63610819,2.58445740,0.43945312
0.48486781,165,3.09953498,-1.70019419,-3.07128151,0.00381470,1.49642087,0.00267029,3.09953498,-1.65022166,-3.07492940,0.00381474,1.49590847,0.00268549,3.09953498,-1.65022166,-3.09912880,0.00267029,1.49680234,0.00038147,-0.00488281,-0.00488281,0.02441406,0.01464844,0.01464844,0.00000000,1.03530884,2.64543262,2.58979797,0.26855469
0.49939919,170,3.09953498,-1.70019419,-3.06670388,0.00381470,1.49642087,0.00267029,3.09953498,-1.65022166,-3.07006914,0.00381471,1.49574002,0.00267527,3.09953498,-1.65022166,-3.09874733,0.00343323,1.49680234,0.00038147,-0.00488281,0.00000000,0.03906250,0.04394531,-0.00000000,-0.01464844,1.03530884,2.64855055,2.59170532,0.21972656
0.51334548,175,3.09953498,-1.70019419,-3.06098183,0.00381470,1.49565793,0.00267029,3.09953498,-1.65022166,-3.06476278,0.00381470,1.49520314,0.00267192,3.09953498,-1.65022166,-3.09798439,0.00457764,1.49680234,0.00076294,-0.00976562,-0.00488281,0.04882812,0.02929688,0.02929688,0.00000000,1.03530884,2.64957224,2.60162354,0.26855469
0.52807379,180,3.09953498,-1.70019419,-3.05487831,0.00381470,1.49527646,0.00267029,3.09953498,-1.65022166,-3.05976325,0.00381470,1.49491967,0.00267082,3.09953498,-1.65022166,-3.09760292,0.00457764,1.49680234,0.00076294,-0.00488281,-0.00488281,0.03906250,-0.01464844,0.02929688,-0.01464844,1.03530884,2.64990702,2.60620117,0.36621094
0.54425573,185,3.09953498,-1.70019419,-3.04953774,0.00381470,1.49375058,0.00267029,3.09953498,-1.65022166,-3.05417115,0.00381470,1.49395129,0.00267046,3.09953498,-1.65022166,-3.09683998,0.00457764,1.49680234,0.00076294,0.00000000,-0.00488281,0.05859375,-0.01464844,0.01464844,-0.01464844,1.03530884,2.65001672,2.61001587,0.31738281
0.55767298,190,3.09953498,-1.70019419,-3.04419716,0.00419617,1.49146176,0.00267029,3.09953498,-1.65022166,-3.04876817,0.00403210,1.49234564,0.00267035,3.09953498,-1.65022166,-3.09607704,0.00457764,1.49642087,0.00114441,-0.00488281,-0.00488281,0.06835938,-0.01464844,-0.01464844,0.00000000,1.03530884,2.65005267,2.61192322,0.09765625
0.56950116,195,3.09953498,-1.70019419,-3.04038246,0.00419617,1.48917294,0.00267029,3.09953498,-1.65022166,-3.04400236,0.00414241,1.49025090,0.00267031,3.09953498,-1.65022166,-3.09531411,0.00457764,1.49603940,0.00114441,-0.00488281,-0.00488281,0.05371094,-0.01464844,-0.00000000,0.00000000,1.03530884,2.65006445,2.61497498,0.24414062
0.58480310,200,3.09953498,-1.70019419,-3.03427895,0.00419617,1.48535824,0.00305176,3.09953498,-1.65022166,-3.03873025,0.00417855,1.48713261,0.00280762,3.09953498,-1.65022166,-3.09416970,0.00457764,1.49603940,0.00114441,-0.00976562,-0.00488281,0.06347656,0.00000000,0.01464844,-0.01464844,1.03530884,2.65006831,2.61840820,0.12207031
0.60035038,205,3.09953498,-1.70019419,-3.02893837,0.00419617,1.48154355,0.00305176,3.09953498,-1.65022166,-3.03314746,0.00419039,1.48354172,0.00292293,3.09953498,-1.65022166,-3.09340676,0.00457764,1.49603940,0.00114441,-0.00488281,-0.00488281,0.05371094,0.00000000,-0.00000000,0.00000000,1.03530884,2.65006957,2.62260437,0.26855469
0.61228132,210,3.09953498,-1.70019419,-3.02359780,0.00419617,1.47658444,0.00305176,3.09953498,-1.65022166,-3.02800828,0.00419428,1.47951337,0.00300954,3.09953498,-1.65022166,-3.09226235,0.00457764,1.49527646,0.00152588,-0.00488281,0.00000000,0.08300781,0.00000000,-0.04394531,-0.01464844,1.03530884,2.65006999,2.62336731,0.04882812
0.62775731,215,3.09953498,-1.70019419,-3.01825722,0.00419617,1.47200680,0.00305176,3.09953498,-1.65022166,-3.02228692,0.00419555,1.47471778,0.00303793,3.09953498,-1.65022166,-3.09149941,0.00457764,1.49413205,0.00152588,-0.00976562,-0.00488281,0.07324219,-0.01464844,-0.10253906,-0.02929688,1.03530884,2.65007012,2.62489319,0.09765625
0.64196181,220,3.09953498,-1.70019419,-3.01253517,0.00419617,1.46628476,0.00305176,3.09953498,-1.65022166,-3.01672428,0.00419596,1.46966991,0.00304723,3.09953498,-1.65022166,-3.08997353,0.00419617,1.49222470,0.00152588,-0.00488281,-0.00488281,0.10253906,-0.01464844,-0.11718750,-0.01464844,1.03530884,2.64985044,2.62641907,0.09765625
0.65610743,225,3.09953498,-1.70019419,-3.00757607,0.00419617,1.46132565,0.00305176,3.09953498,-1.65022166,-3.01135500,0.00419610,1.46435946,0.00305027,3.09953498,-1.65022166,-3.08844765,0.00457764,1.48955441,0.00152588,0.00000000,-0.00488281,0.11718750,-0.01464844,-0.17578125,0.00000000,1.03530884,2.64999818,2.62756348,0.04882812
0.66890001,230,3.09953498,-1.70019419,-3.00261696,0.00419617,1.45598507,0.00305176,3.09953498,-1.65022166,-3.00627419,0.00419615,1.45901020,0.00305127,3.09953498,-1.65022166,-3.08692177,0.00457764,1.48726559,0.00152588,-0.00976562,-0.00976562,0.11718750,-0.01464844,-0.16113281,-0.01464844,1.03530884,2.65004660,2.62794495,0.00000000
0.68625069,235,3.09953498,-1.70019419,-2.99651345,0.00419617,1.44835568,0.00305176,3.09953498,-1.65022166,-3.00090472,0.00419616,1.45287454,0.00305160,3.09953498,-1.65022166,-3.08539589,0.00457764,1.48497677,0.00152588,-0.00488281,-0.00488281,0.11230469,0.00000000,-0.13183594,-0.01464844,1.03530884,2.65006246,2.62870789,0.02441406
0.70108199,240,3.09953498,-1.70019419,-2.99040993,0.00419617,1.43958188,0.00305176,3.09953498,-1.65022166,-2.99512230,0.00419616,1.44509899,0.00305171,3.09953498,-1.65022166,-3.08387001,0.00457764,1.48306943,0.00190735,-0.00488281,-0.00488281,0.11230469,-0.01464844,-0.16113281,-0.01464844,1.03530884,2.65006766,2.62908936,0.02441406
0.71298242,245,3.09953498,-1.70019419,-2.98621376,0.00419617,1.43653012,0.00305176,3.09953498,-1.65022166,-2.98982627,0.00419617,1.43929768,0.00305174,3.09953498,-1.65022166,-3.08158120,0.00457764,1.48039914,0.00190735,0.00000000,-0.00488281,0.12695312,-0.01464844,-0.14648438,-0.01464844,1.03530884,2.65006936,2.63023376,0.02441406
0.72845054,250,3.09953498,-1.70019419,-2.98087319,0.00419617,1.43042660,0.00305176,3.09953498,-1.65022166,-2.98465703,0.00419617,1.43370189,0.00305175,3.09953498,-1.65022166,-3.08043679,0.00457764,1.47925473,0.00190735,-0.00488281,-0.00488281,0.14160156,-0.01464844,-0.10253906,-0.01464844,1.03530884,2.65006992,2.63099670,0.07324219
0.74462533,255,3.09953498,-1.70019419,-2.97476967,0.00419617,1.42317868,0.00305176,3.09953498,-1.65022166,-2.97938261,0.00419617,1.42758859,0.00305176,3.09953498,-1.65022166,-3.07814797,0.00457764,1.47696591,0.00190735,-0.00976562,-0.00976562,0.11230469,-0.01464844,-0.11718750,-0.01464844,1.03530884,2.65007010,2.63252258,0.04882812
0.75842023,260,3.09953498,-1.70019419,-2.97057350,0.00419617,1.41898251,0.00343323,3.09953498,-1.65022166,-2.97419249,0.00419617,1.42202203,0.00323791,3.09953498,-1.65022166,-3.07662209,0.00457764,1.47391415,0.00190735,-0.00976562,-0.00488281,0.14160156,0.00000000,-0.20507812,-0.01464844,1.03530884,2.65007016,2.63252258,0.00000000
0.77496648,265,3.09953498,-1.70019419,-2.96561440,0.00381470,1.41440487,0.00343323,3.09953498,-1.65022166,-2.96922410,0.00393970,1.41703636,0.00336923,3.09953498,-1.65022166,-3.07395180,0.00457764,1.46819211,0.00190735,0.00000000,-0.00488281,0.14160156,-0.02929688,-0.30761719,-0.01464844,1.03530884,2.65007018,2.63328552,0.00000000
0.78908777,270,3.09953498,-1.70019419,-2.95951088,0.00381470,1.41059018,0.00343323,3.09953498,-1.65022166,-2.96371617,0.00385566,1.41296003,0.00341226,3.09953498,-1.65022166,-3.07242592,0.00457764,1.46399594,0.00190735,-0.00488281,-0.00488281,0.13183594,0.00000000,-0.29296875,0.00000000,1.03530884,2.65007019,2.63366699,0.00000000
