frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.00843453,1782721357.69149160,166216.75811630,1782721357612.5889,838,teach_record_20260629_162237_color.mp4
1,0.07670188,1782721357.75975895,166216.82715850,1782721357679.3000,840,teach_record_20260629_162237_color.mp4
2,0.11132121,1782721357.79437828,166216.86135500,1782721357712.6555,841,teach_record_20260629_162237_color.mp4
3,0.14263892,1782721357.82569599,166216.89203230,1782721357746.0110,842,teach_record_20260629_162237_color.mp4
4,0.17577052,1782721357.85882759,166216.92521530,1782721357779.3665,843,teach_record_20260629_162237_color.mp4
5,0.20890665,1782721357.89196372,166216.95876690,1782721357812.7222,844,teach_record_20260629_162237_color.mp4
6,0.24191999,1782721357.92497706,166216.99155730,1782721357846.0776,845,teach_record_20260629_162237_color.mp4
7,0.27454495,1782721357.95760202,166217.02529510,1782721357879.4331,846,teach_record_20260629_162237_color.mp4
8,0.30912375,1782721357.99218082,166217.05867710,1782721357912.7886,847,teach_record_20260629_162237_color.mp4
9,0.34184718,1782721358.02490425,166217.09150510,1782721357946.1440,848,teach_record_20260629_162237_color.mp4
10,0.37557387,1782721358.05863094,166217.12511290,1782721357979.4993,849,teach_record_20260629_162237_color.mp4
11,0.40821433,1782721358.09127140,166217.15902810,1782721358012.8547,850,teach_record_20260629_162237_color.mp4
12,0.44202781,1782721358.12508488,166217.19146550,1782721358046.2102,851,teach_record_20260629_162237_color.mp4
13,0.47592378,1782721358.15898085,166217.22549020,1782721358079.5679,852,teach_record_20260629_162237_color.mp4
14,0.50913882,1782721358.19219589,166217.25864230,1782721358112.9243,853,teach_record_20260629_162237_color.mp4
15,0.54444385,1782721358.22750092,166217.29380770,1782721358146.2808,854,teach_record_20260629_162237_color.mp4
16,0.57635760,1782721358.25941467,166217.32562930,1782721358179.6372,855,teach_record_20260629_162237_color.mp4
17,0.61074638,1782721358.29380345,166217.36031480,1782721358212.9937,856,teach_record_20260629_162237_color.mp4
18,0.64307642,1782721358.32613349,166217.39267460,1782721358246.3501,857,teach_record_20260629_162237_color.mp4
19,0.67583990,1782721358.35889697,166217.42510120,1782721358279.7065,858,teach_record_20260629_162237_color.mp4
20,0.71126842,1782721358.39432549,166217.46064760,1782721358313.0630,859,teach_record_20260629_162237_color.mp4
21,0.74302053,1782721358.42607760,166217.49311960,1782721358346.4194,860,teach_record_20260629_162237_color.mp4
22,0.77623606,1782721358.45929313,166217.52552130,1782721358379.7759,861,teach_record_20260629_162237_color.mp4
23,0.80795002,1782721358.49100709,166217.55844320,1782721358413.1321,862,teach_record_20260629_162237_color.mp4
24,0.84450126,1782721358.52755833,166217.59375560,1782721358446.4885,863,teach_record_20260629_162237_color.mp4
25,0.87756085,1782721358.56061792,166217.62701870,1782721358479.8450,864,teach_record_20260629_162237_color.mp4
26,0.90983105,1782721358.59288812,166217.65952540,1782721358513.2014,865,teach_record_20260629_162237_color.mp4
27,0.94337654,1782721358.62643361,166217.69276950,1782721358546.5576,866,teach_record_20260629_162237_color.mp4
28,0.97569442,1782721358.65875149,166217.72540030,1782721358579.9141,867,teach_record_20260629_162237_color.mp4
29,1.01005006,1782721358.69310713,166217.76015420,1782721358613.2703,868,teach_record_20260629_162237_color.mp4
30,1.04235935,1782721358.72541642,166217.79208740,1782721358646.6267,869,teach_record_20260629_162237_color.mp4
31,1.07706380,1782721358.76012087,166217.82647560,1782721358679.9829,870,teach_record_20260629_162237_color.mp4
32,1.11133528,1782721358.79439235,166217.86075160,1782721358713.3394,871,teach_record_20260629_162237_color.mp4
33,1.14268684,1782721358.82574391,166217.89266670,1782721358746.6956,872,teach_record_20260629_162237_color.mp4
34,1.17614627,1782721358.85920334,166217.92620520,1782721358780.0520,873,teach_record_20260629_162237_color.mp4
