frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.01440048,1783953511.96096587,863224.35781750,1783953511882.6990,25508,teach_record_20260713_223831_color.mp4
1,0.04840922,1783953511.99497461,863224.39099100,1783953511916.0625,25509,teach_record_20260713_223831_color.mp4
2,0.08288431,1783953512.02944970,863224.42485800,1783953511949.4258,25510,teach_record_20260713_223831_color.mp4
3,0.11473441,1783953512.06129980,863224.45784110,1783953511982.7893,25511,teach_record_20260713_223831_color.mp4
4,0.14857268,1783953512.09513807,863224.49099290,1783953512016.1526,25512,teach_record_20260713_223831_color.mp4
5,0.18198419,1783953512.12854958,863224.52479580,1783953512049.5159,25513,teach_record_20260713_223831_color.mp4
6,0.21538663,1783953512.16195202,863224.55752850,1783953512082.8794,25514,teach_record_20260713_223831_color.mp4
7,0.24837399,1783953512.19493937,863224.59042540,1783953512116.2427,25515,teach_record_20260713_223831_color.mp4
8,0.28211522,1783953512.22868061,863224.62431470,1783953512149.6062,25516,teach_record_20260713_223831_color.mp4
9,0.31519508,1783953512.26176047,863224.65736590,1783953512182.9695,25517,teach_record_20260713_223831_color.mp4
10,0.34921193,1783953512.29577732,863224.69110600,1783953512216.3328,25518,teach_record_20260713_223831_color.mp4
11,0.38231683,1783953512.32888222,863224.72451230,1783953512249.6960,25519,teach_record_20260713_223831_color.mp4
12,0.41489887,1783953512.36146426,863224.75750150,1783953512283.0596,25520,teach_record_20260713_223831_color.mp4
13,0.44915342,1783953512.39571881,863224.79124270,1783953512316.4229,25521,teach_record_20260713_223831_color.mp4
14,0.48281193,1783953512.42937732,863224.82460170,1783953512349.7869,25522,teach_record_20260713_223831_color.mp4
15,0.51688361,1783953512.46344900,863224.85896620,1783953512383.1501,25523,teach_record_20260713_223831_color.mp4
16,0.54932928,1783953512.49589467,863224.89255340,1783953512416.5134,25524,teach_record_20260713_223831_color.mp4
17,0.58217287,1783953512.52873826,863224.92423760,1783953512449.8765,25525,teach_record_20260713_223831_color.mp4
18,0.61556935,1783953512.56213474,863224.95852260,1783953512483.2397,25526,teach_record_20260713_223831_color.mp4
19,0.64890218,1783953512.59546757,863224.99082450,1783953512516.6030,25527,teach_record_20260713_223831_color.mp4
20,0.68263888,1783953512.62920427,863225.02569410,1783953512549.9663,25528,teach_record_20260713_223831_color.mp4
21,0.71560812,1783953512.66217351,863225.05832110,1783953512583.3293,25529,teach_record_20260713_223831_color.mp4
22,0.74869895,1783953512.69526434,863225.09093380,1783953512616.6926,25530,teach_record_20260713_223831_color.mp4
23,0.78347039,1783953512.73003578,863225.12614160,1783953512650.0557,25531,teach_record_20260713_223831_color.mp4
24,0.81521511,1783953512.76178050,863225.15791530,1783953512683.4189,25532,teach_record_20260713_223831_color.mp4
25,0.84908867,1783953512.79565406,863225.19103840,1783953512716.7820,25533,teach_record_20260713_223831_color.mp4
26,0.88292289,1783953512.82948828,863225.22554820,1783953512750.1453,25534,teach_record_20260713_223831_color.mp4
27,0.91773772,1783953512.86430311,863225.25967420,1783953512783.5083,25535,teach_record_20260713_223831_color.mp4
28,0.94928002,1783953512.89584541,863225.29103390,1783953512816.8716,25536,teach_record_20260713_223831_color.mp4
29,0.98256302,1783953512.92912841,863225.32473670,1783953512850.2346,25537,teach_record_20260713_223831_color.mp4
30,1.01581693,1783953512.96238232,863225.35791570,1783953512883.5977,25538,teach_record_20260713_223831_color.mp4
31,1.05021000,1783953512.99677539,863225.39257860,1783953512916.9609,25539,teach_record_20260713_223831_color.mp4
32,1.08372402,1783953513.03028941,863225.42565480,1783953512950.3240,25540,teach_record_20260713_223831_color.mp4
33,1.11621785,1783953513.06278324,863225.45904990,1783953512983.6870,25541,teach_record_20260713_223831_color.mp4
34,1.14940143,1783953513.09596682,863225.49237160,1783953513017.0500,25542,teach_record_20260713_223831_color.mp4
35,1.18326378,1783953513.12982917,863225.52524020,1783953513050.4133,25543,teach_record_20260713_223831_color.mp4
36,1.21716380,1783953513.16372919,863225.55951710,1783953513083.7764,25544,teach_record_20260713_223831_color.mp4
37,1.24876451,1783953513.19532990,863225.59114180,1783953513117.1394,25545,teach_record_20260713_223831_color.mp4
38,1.28404117,1783953513.23060656,863225.62576730,1783953513150.5024,25546,teach_record_20260713_223831_color.mp4
39,1.31744790,1783953513.26401329,863225.65935320,1783953513183.8655,25547,teach_record_20260713_223831_color.mp4
40,1.34901524,1783953513.29558063,863225.69157870,1783953513217.2285,25548,teach_record_20260713_223831_color.mp4
41,1.38341451,1783953513.32997990,863225.72514490,1783953513250.5916,25549,teach_record_20260713_223831_color.mp4
42,1.41646266,1783953513.36302805,863225.75837180,1783953513283.9546,25550,teach_record_20260713_223831_color.mp4
43,1.45078588,1783953513.39735126,863225.79287530,1783953513317.3176,25551,teach_record_20260713_223831_color.mp4
44,1.48737550,1783953513.43394089,863225.82923400,1783953513350.6807,25552,teach_record_20260713_223831_color.mp4
45,1.51676941,1783953513.46333480,863225.85861010,1783953513384.0447,25553,teach_record_20260713_223831_color.mp4
46,1.55126905,1783953513.49783444,863225.89291820,1783953513417.4072,25554,teach_record_20260713_223831_color.mp4
47,1.58427620,1783953513.53084159,863225.92594340,1783953513450.7698,25555,teach_record_20260713_223831_color.mp4
48,1.61718893,1783953513.56375432,863225.95888550,1783953513484.1323,25556,teach_record_20260713_223831_color.mp4
49,1.65042543,1783953513.59699082,863225.99210200,1783953513517.4946,25557,teach_record_20260713_223831_color.mp4
50,1.68190074,1783953513.62846613,863226.02482790,1783953513550.8572,25558,teach_record_20260713_223831_color.mp4
51,1.71695256,1783953513.66351795,863226.05887560,1783953513584.2197,25559,teach_record_20260713_223831_color.mp4
52,1.74999213,1783953513.69655752,863226.09193820,1783953513617.5823,25560,teach_record_20260713_223831_color.mp4
53,1.78345251,1783953513.73001790,863226.12545280,1783953513650.9446,25561,teach_record_20260713_223831_color.mp4
54,1.81643820,1783953513.76300359,863226.15879550,1783953513684.3071,25562,teach_record_20260713_223831_color.mp4
55,1.84916449,1783953513.79572988,863226.19170290,1783953513717.6694,25563,teach_record_20260713_223831_color.mp4
56,1.88278055,1783953513.82934594,863226.22500890,1783953513751.0320,25564,teach_record_20260713_223831_color.mp4
57,1.91715145,1783953513.86371684,863226.25971280,1783953513784.3943,25565,teach_record_20260713_223831_color.mp4
58,1.95113206,1783953513.89769745,863226.29346810,1783953513817.7568,25566,teach_record_20260713_223831_color.mp4
59,1.98346114,1783953513.93002653,863226.32618650,1783953513851.1191,25567,teach_record_20260713_223831_color.mp4
60,2.01644254,1783953513.96300793,863226.35844410,1783953513884.4814,25568,teach_record_20260713_223831_color.mp4
61,2.05039144,1783953513.99695683,863226.39209500,1783953513917.8440,25569,teach_record_20260713_223831_color.mp4
62,2.08291483,1783953514.02948022,863226.42530810,1783953513951.2063,25570,teach_record_20260713_223831_color.mp4
63,2.11794376,1783953514.06450915,863226.46060710,1783953513984.5686,25571,teach_record_20260713_223831_color.mp4
64,2.15057373,1783953514.09713912,863226.49234460,1783953514017.9309,25572,teach_record_20260713_223831_color.mp4
65,2.18505812,1783953514.13162351,863226.52667200,1783953514051.2932,25573,teach_record_20260713_223831_color.mp4
66,2.21617866,1783953514.16274405,863226.55849730,1783953514084.6555,25574,teach_record_20260713_223831_color.mp4
67,2.25031662,1783953514.19688201,863226.59222090,1783953514118.0178,25575,teach_record_20260713_223831_color.mp4
68,2.28396511,1783953514.23053050,863226.62553900,1783953514151.3801,25576,teach_record_20260713_223831_color.mp4
69,2.31684232,1783953514.26340771,863226.65872900,1783953514184.7424,25577,teach_record_20260713_223831_color.mp4
70,2.35070419,1783953514.29726958,863226.69300530,1783953514218.1047,25578,teach_record_20260713_223831_color.mp4
