frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.00853634,1783952894.53444028,862607.03776360,1783952894455.1389,7002,teach_record_20260713_222814_color.mp4
1,0.04281640,1783952894.56872034,862607.07187290,1783952894488.5017,7003,teach_record_20260713_222814_color.mp4
2,0.07898808,1783952894.60489202,862607.10868440,1783952894521.8645,7004,teach_record_20260713_222814_color.mp4
3,0.10822749,1783952894.63413143,862607.13725880,1783952894555.2273,7005,teach_record_20260713_222814_color.mp4
4,0.14241743,1783952894.66832137,862607.17158080,1783952894588.5901,7006,teach_record_20260713_222814_color.mp4
5,0.17484927,1783952894.70075321,862607.20502260,1783952894621.9529,7007,teach_record_20260713_222814_color.mp4
6,0.20920467,1783952894.73510861,862607.23816480,1783952894655.3157,7008,teach_record_20260713_222814_color.mp4
7,0.24209332,1783952894.76799726,862607.27113140,1783952894688.6782,7009,teach_record_20260713_222814_color.mp4
8,0.27398086,1783952894.79988480,862607.30423030,1783952894722.0410,7010,teach_record_20260713_222814_color.mp4
9,0.30894876,1783952894.83485270,862607.33802850,1783952894755.4038,7011,teach_record_20260713_222814_color.mp4
10,0.34209418,1783952894.86799812,862607.37166780,1783952894788.7666,7012,teach_record_20260713_222814_color.mp4
11,0.37479448,1783952894.90069842,862607.40408620,1783952894822.1294,7013,teach_record_20260713_222814_color.mp4
12,0.40909028,1783952894.93499422,862607.43800300,1783952894855.4919,7014,teach_record_20260713_222814_color.mp4
13,0.44216514,1783952894.96806908,862607.47120590,1783952894888.8547,7015,teach_record_20260713_222814_color.mp4
14,0.47543979,1783952895.00134373,862607.50517060,1783952894922.2173,7016,teach_record_20260713_222814_color.mp4
15,0.50981855,1783952895.03572249,862607.53902160,1783952894955.5801,7017,teach_record_20260713_222814_color.mp4
16,0.54147553,1783952895.06737947,862607.57146900,1783952894988.9429,7018,teach_record_20260713_222814_color.mp4
17,0.57549834,1783952895.10140228,862607.60444070,1783952895022.3064,7019,teach_record_20260713_222814_color.mp4
18,0.60859656,1783952895.13450050,862607.63772160,1783952895055.6689,7020,teach_record_20260713_222814_color.mp4
19,0.64320207,1783952895.16910601,862607.67233860,1783952895089.0315,7021,teach_record_20260713_222814_color.mp4
20,0.67639923,1783952895.20230317,862607.70572620,1783952895122.3940,7022,teach_record_20260713_222814_color.mp4
21,0.70900416,1783952895.23490810,862607.73815860,1783952895155.7568,7023,teach_record_20260713_222814_color.mp4
22,0.74441981,1783952895.27032375,862607.77331600,1783952895189.1194,7024,teach_record_20260713_222814_color.mp4
23,0.77817988,1783952895.30408382,862607.80699720,1783952895222.4819,7025,teach_record_20260713_222814_color.mp4
24,0.80931640,1783952895.33522034,862607.83857820,1783952895255.8445,7026,teach_record_20260713_222814_color.mp4
25,0.84302664,1783952895.36893058,862607.87274210,1783952895289.2070,7027,teach_record_20260713_222814_color.mp4
26,0.87591290,1783952895.40181684,862607.90509820,1783952895322.5696,7028,teach_record_20260713_222814_color.mp4
27,0.90930581,1783952895.43520975,862607.93840800,1783952895355.9321,7029,teach_record_20260713_222814_color.mp4
28,0.94214940,1783952895.46805334,862607.97147380,1783952895389.2944,7030,teach_record_20260713_222814_color.mp4
29,0.97618151,1783952895.50208545,862608.00511030,1783952895422.6570,7031,teach_record_20260713_222814_color.mp4
30,1.00986671,1783952895.53577065,862608.03888890,1783952895456.0195,7032,teach_record_20260713_222814_color.mp4
31,1.04258609,1783952895.56849003,862608.07206370,1783952895489.3821,7033,teach_record_20260713_222814_color.mp4
32,1.07641506,1783952895.60231900,862608.10559850,1783952895522.7446,7034,teach_record_20260713_222814_color.mp4
33,1.10924172,1783952895.63514566,862608.13838010,1783952895556.1072,7035,teach_record_20260713_222814_color.mp4
34,1.14256144,1783952895.66846538,862608.17180700,1783952895589.4695,7036,teach_record_20260713_222814_color.mp4
35,1.17644954,1783952895.70235348,862608.20528750,1783952895622.8320,7037,teach_record_20260713_222814_color.mp4
36,1.20840240,1783952895.73430634,862608.23809340,1783952895656.1946,7038,teach_record_20260713_222814_color.mp4
37,1.24241447,1783952895.76831841,862608.27168960,1783952895689.5571,7039,teach_record_20260713_222814_color.mp4
38,1.27714539,1783952895.80304933,862608.30628910,1783952895722.9194,7040,teach_record_20260713_222814_color.mp4
39,1.31095695,1783952895.83686090,862608.33988200,1783952895756.2820,7041,teach_record_20260713_222814_color.mp4
40,1.34293532,1783952895.86883926,862608.37173280,1783952895789.6443,7042,teach_record_20260713_222814_color.mp4
41,1.37603593,1783952895.90193987,862608.40478520,1783952895823.0068,7043,teach_record_20260713_222814_color.mp4
42,1.40994477,1783952895.93584871,862608.43994790,1783952895856.3694,7044,teach_record_20260713_222814_color.mp4
43,1.44457984,1783952895.97048378,862608.47337450,1783952895889.7317,7045,teach_record_20260713_222814_color.mp4
44,1.47667217,1783952896.00257611,862608.50538400,1783952895923.0942,7046,teach_record_20260713_222814_color.mp4
45,1.50951433,1783952896.03541827,862608.53837210,1783952895956.4565,7047,teach_record_20260713_222814_color.mp4
46,1.54395437,1783952896.06985831,862608.57304880,1783952895989.8188,7048,teach_record_20260713_222814_color.mp4
47,1.57821941,1783952896.10412335,862608.60720810,1783952896023.1814,7049,teach_record_20260713_222814_color.mp4
48,1.60996175,1783952896.13586569,862608.63946750,1783952896056.5449,7050,teach_record_20260713_222814_color.mp4
49,1.64481354,1783952896.17071748,862608.67354520,1783952896089.9089,7051,teach_record_20260713_222814_color.mp4
50,1.67681146,1783952896.20271540,862608.70607740,1783952896123.2732,7052,teach_record_20260713_222814_color.mp4
51,1.70985794,1783952896.23576188,862608.73878700,1783952896156.6372,7053,teach_record_20260713_222814_color.mp4
52,1.74292731,1783952896.26883125,862608.77240430,1783952896190.0012,7054,teach_record_20260713_222814_color.mp4
53,1.77630901,1783952896.30221295,862608.80540070,1783952896223.3655,7055,teach_record_20260713_222814_color.mp4
54,1.81060219,1783952896.33650613,862608.83951650,1783952896256.7295,7056,teach_record_20260713_222814_color.mp4
55,1.84424782,1783952896.37015176,862608.87304940,1783952896290.0935,7057,teach_record_20260713_222814_color.mp4
56,1.87756991,1783952896.40347385,862608.90657850,1783952896323.4575,7058,teach_record_20260713_222814_color.mp4
57,1.90905976,1783952896.43496370,862608.93924530,1783952896356.8218,7059,teach_record_20260713_222814_color.mp4
58,1.94314218,1783952896.46904612,862608.97212040,1783952896390.1858,7060,teach_record_20260713_222814_color.mp4
59,1.97659612,1783952896.50250006,862609.00520280,1783952896423.5498,7061,teach_record_20260713_222814_color.mp4
60,2.01040387,1783952896.53630781,862609.03964220,1783952896456.9141,7062,teach_record_20260713_222814_color.mp4
61,2.04385614,1783952896.56976008,862609.07264980,1783952896490.2781,7063,teach_record_20260713_222814_color.mp4
62,2.07535481,1783952896.60125875,862609.10539570,1783952896523.6421,7064,teach_record_20260713_222814_color.mp4
63,2.10968518,1783952896.63558912,862609.13871380,1783952896557.0061,7065,teach_record_20260713_222814_color.mp4
64,2.14328027,1783952896.66918421,862609.17270560,1783952896590.3704,7066,teach_record_20260713_222814_color.mp4
65,2.17666602,1783952896.70256996,862609.20535810,1783952896623.7344,7067,teach_record_20260713_222814_color.mp4
66,2.20933509,1783952896.73523903,862609.23874580,1783952896657.0984,7068,teach_record_20260713_222814_color.mp4
67,2.24278259,1783952896.76868653,862609.27235770,1783952896690.4626,7069,teach_record_20260713_222814_color.mp4
68,2.27846718,1783952896.80437112,862609.30711760,1783952896723.8267,7070,teach_record_20260713_222814_color.mp4
69,2.31093168,1783952896.83683562,862609.33980430,1783952896757.1907,7071,teach_record_20260713_222814_color.mp4
70,2.34390593,1783952896.86980987,862609.37387620,1783952896790.5547,7072,teach_record_20260713_222814_color.mp4
71,2.37747240,1783952896.90337634,862609.40649370,1783952896823.9189,7073,teach_record_20260713_222814_color.mp4
72,2.41039181,1783952896.93629575,862609.43994770,1783952896857.2830,7074,teach_record_20260713_222814_color.mp4
73,2.44504833,1783952896.97095227,862609.47396890,1783952896890.6470,7075,teach_record_20260713_222814_color.mp4
74,2.47756314,1783952897.00346708,862609.50631570,1783952896924.0110,7076,teach_record_20260713_222814_color.mp4
75,2.51000309,1783952897.03590703,862609.53932070,1783952896957.3752,7077,teach_record_20260713_222814_color.mp4
76,2.54447293,1783952897.07037687,862609.57319050,1783952896990.7393,7078,teach_record_20260713_222814_color.mp4
77,2.57689309,1783952897.10279703,862609.60623180,1783952897024.1033,7079,teach_record_20260713_222814_color.mp4
78,2.60990095,1783952897.13580489,862609.63902830,1783952897057.4673,7080,teach_record_20260713_222814_color.mp4
79,2.64328170,1783952897.16918564,862609.67253650,1783952897090.8308,7081,teach_record_20260713_222814_color.mp4
80,2.67734027,1783952897.20324421,862609.70642730,1783952897124.1953,7082,teach_record_20260713_222814_color.mp4
81,2.71113443,1783952897.23703837,862609.74022490,1783952897157.5601,7083,teach_record_20260713_222814_color.mp4
82,2.74421263,1783952897.27011657,862609.77386120,1783952897190.9246,7084,teach_record_20260713_222814_color.mp4
