frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02073812,1782569642.76216698,14496.62669690,1782569642761.5557,794,teach_record_20260627_221402_color.mp4
1,0.09496617,1782569642.83639503,14496.70146330,1782569642828.2700,796,teach_record_20260627_221402_color.mp4
2,0.11927652,1782569642.86070538,14496.72637160,1782569642861.6501,797,teach_record_20260627_221402_color.mp4
3,0.15369058,1782569642.89511943,14496.75976770,1782569642894.9448,798,teach_record_20260627_221402_color.mp4
4,0.18751526,1782569642.92894411,14496.79423160,1782569642928.3159,799,teach_record_20260627_221402_color.mp4
5,0.22106433,1782569642.96249318,14496.82742430,1782569642962.2324,800,teach_record_20260627_221402_color.mp4
6,0.25558138,1782569642.99701023,14496.86196990,1782569642995.0771,801,teach_record_20260627_221402_color.mp4
7,0.28746700,1782569643.02889585,14496.89420350,1782569643028.3704,802,teach_record_20260627_221402_color.mp4
8,0.32122302,1782569643.06265187,14496.92779770,1782569643061.7134,803,teach_record_20260627_221402_color.mp4
9,0.35362911,1782569643.09505796,14496.95982180,1782569643095.0945,804,teach_record_20260627_221402_color.mp4
10,0.38849282,1782569643.12992167,14496.99478030,1782569643128.3972,805,teach_record_20260627_221402_color.mp4
11,0.42044973,1782569643.16187859,14497.02709950,1782569643161.7917,806,teach_record_20260627_221402_color.mp4
12,0.45440125,1782569643.19583011,14497.06065540,1782569643195.1409,807,teach_record_20260627_221402_color.mp4
13,0.48709369,1782569643.22852254,14497.09331500,1782569643228.5691,808,teach_record_20260627_221402_color.mp4
14,0.52110219,1782569643.26253104,14497.12740120,1782569643261.9143,809,teach_record_20260627_221402_color.mp4
15,0.55362916,1782569643.29505801,14497.16049750,1782569643295.2095,810,teach_record_20260627_221402_color.mp4
16,0.58866262,1782569643.33009148,14497.19466430,1782569643328.5933,811,teach_record_20260627_221402_color.mp4
17,0.62068701,1782569643.36211586,14497.22716280,1782569643362.0588,812,teach_record_20260627_221402_color.mp4
18,0.65403366,1782569643.39546251,14497.26037430,1782569643395.6704,813,teach_record_20260627_221402_color.mp4
19,0.68948030,1782569643.43090916,14497.29548730,1782569643428.8960,814,teach_record_20260627_221402_color.mp4
20,0.72077656,1782569643.46220541,14497.32717950,1782569643462.0581,815,teach_record_20260627_221402_color.mp4
21,0.75404859,1782569643.49547744,14497.36069070,1782569643495.3547,816,teach_record_20260627_221402_color.mp4
22,0.78795433,1782569643.52938318,14497.39433000,1782569643529.0200,817,teach_record_20260627_221402_color.mp4
23,0.82088447,1782569643.56231332,14497.42762280,1782569643562.2351,818,teach_record_20260627_221402_color.mp4
24,0.85565495,1782569643.59708381,14497.46185600,1782569643595.7737,819,teach_record_20260627_221402_color.mp4
25,0.88857770,1782569643.63000655,14497.49499350,1782569643628.9800,820,teach_record_20260627_221402_color.mp4
26,0.92344356,1782569643.66487241,14497.52955960,1782569643662.4241,821,teach_record_20260627_221402_color.mp4
27,0.95440650,1782569643.69583535,14497.56046530,1782569643695.6846,822,teach_record_20260627_221402_color.mp4
28,0.98797059,1782569643.72939944,14497.59396530,1782569643729.0117,823,teach_record_20260627_221402_color.mp4
29,1.02224970,1782569643.76367855,14497.62847200,1782569643762.7683,824,teach_record_20260627_221402_color.mp4
30,1.05469489,1782569643.79612374,14497.66097810,1782569643795.8879,825,teach_record_20260627_221402_color.mp4
31,1.08779407,1782569643.82922292,14497.69521390,1782569643829.3521,826,teach_record_20260627_221402_color.mp4
32,1.12202787,1782569643.86345673,14497.72809770,1782569643862.7219,827,teach_record_20260627_221402_color.mp4
33,1.15381885,1782569643.89524770,14497.76137410,1782569643895.7732,828,teach_record_20260627_221402_color.mp4
34,1.18923211,1782569643.93066096,14497.79530660,1782569643929.1909,829,teach_record_20260627_221402_color.mp4
35,1.22151208,1782569643.96294093,14497.82775390,1782569643962.6023,830,teach_record_20260627_221402_color.mp4
36,1.25492477,1782569643.99635363,14497.86095480,1782569643995.8369,831,teach_record_20260627_221402_color.mp4
37,1.28824687,1782569644.02967572,14497.89548190,1782569644029.1267,832,teach_record_20260627_221402_color.mp4
38,1.32240033,1782569644.06382918,14497.92879300,1782569644062.6204,833,teach_record_20260627_221402_color.mp4
39,1.35538673,1782569644.09681559,14497.96228640,1782569644096.1140,834,teach_record_20260627_221402_color.mp4
40,1.38822126,1782569644.12965012,14497.99434740,1782569644129.4128,835,teach_record_20260627_221402_color.mp4
41,1.42093921,1782569644.16236806,14498.02819080,1782569644162.5376,836,teach_record_20260627_221402_color.mp4
42,1.45489478,1782569644.19632363,14498.06130690,1782569644196.0415,837,teach_record_20260627_221402_color.mp4
43,1.48738217,1782569644.22881103,14498.09448000,1782569644229.3301,838,teach_record_20260627_221402_color.mp4
44,1.52284384,1782569644.26427269,14498.12910250,1782569644262.5835,839,teach_record_20260627_221402_color.mp4
45,1.55409408,1782569644.29552293,14498.16151460,1782569644296.0581,840,teach_record_20260627_221402_color.mp4
46,1.58821821,1782569644.32964706,14498.19416470,1782569644329.4221,841,teach_record_20260627_221402_color.mp4
47,1.62050915,1782569644.36193800,14498.22772580,1782569644362.7439,842,teach_record_20260627_221402_color.mp4
48,1.65514517,1782569644.39657402,14498.26170740,1782569644396.0232,843,teach_record_20260627_221402_color.mp4
49,1.69038224,1782569644.43181109,14498.29674230,1782569644429.4209,844,teach_record_20260627_221402_color.mp4
50,1.72133732,1782569644.46276617,14498.32799190,1782569644462.8044,845,teach_record_20260627_221402_color.mp4
51,1.75406957,1782569644.49549842,14498.36114640,1782569644496.2646,846,teach_record_20260627_221402_color.mp4
52,1.78759909,1782569644.52902794,14498.39431260,1782569644529.5156,847,teach_record_20260627_221402_color.mp4
53,1.82110357,1782569644.56253242,14498.42811490,1782569644562.8015,848,teach_record_20260627_221402_color.mp4
54,1.85459208,1782569644.59602094,14498.46130090,1782569644596.2444,849,teach_record_20260627_221402_color.mp4
55,1.88897014,1782569644.63039899,14498.49575970,1782569644629.5159,850,teach_record_20260627_221402_color.mp4
56,1.92053485,1782569644.66196370,14498.52777260,1782569644662.8704,851,teach_record_20260627_221402_color.mp4
57,1.95772791,1782569644.69915676,14498.56387560,1782569644696.4077,852,teach_record_20260627_221402_color.mp4
58,1.98709989,1782569644.72852874,14498.59433190,1782569644729.6035,853,teach_record_20260627_221402_color.mp4
