time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.03262544,5,3.09991645,-1.67387278,-3.09645851,-0.00343323,1.49642087,-0.00076294,3.09979145,-1.63347612,-3.09745851,-0.00243323,1.49741440,-0.00055005,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,0.00000000,0.00488281,-0.01464844,-0.00000000,-0.01464844,-0.00076294,-0.00089441,-0.00038147,-0.02441406
0.04481864,10,3.09991645,-1.67387278,-3.09645851,-0.00343323,1.49642087,-0.00038147,3.09987549,-1.62708690,-3.09678619,-0.00310555,1.49648996,-0.00043671,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.02929688,-0.00000000,-0.02929688,-0.00076294,-0.00092186,-0.00038147,-0.04882812
0.06159639,15,3.09991645,-1.67387278,-3.09645851,-0.00343323,1.49642087,-0.00076294,3.09990302,-1.62494445,-3.09656589,-0.00332585,1.49618704,-0.00051493,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,0.00000000,0.01464844,-0.01464844,-0.00076294,-0.00107149,-0.00038147,-0.04882812
0.07827854,20,3.09991645,-1.67387278,-3.09645851,-0.00343323,1.49642087,-0.00076294,3.09991205,-1.62424241,-3.09649370,-0.00339804,1.49608777,-0.00058157,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,0.00488281,0.00488281,0.00000000,0.01464844,0.00000000,-0.00038147,-0.00096793,-0.00038147,0.00000000
0.09228754,25,3.09991645,-1.67387278,-3.09645851,-0.00343323,1.49642087,-0.00076294,3.09991501,-1.62407340,-3.09647004,-0.00332160,1.49605525,-0.00062343,3.09953498,-1.64984019,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,0.01953125,0.00976562,-0.01464844,0.01464844,-0.01464844,-0.00076294,-0.00108658,-0.00038147,0.00000000
0.10604930,30,3.09991645,-1.67425425,-3.09645851,-0.00267029,1.49642087,-0.00038147,3.09991597,-1.62408211,-3.09646229,-0.00300285,1.49604459,-0.00046076,3.09953498,-1.64984019,-3.09951027,-0.00038147,1.49985409,-0.00038147,-0.00488281,0.01953125,0.00976562,-0.02929688,0.01464844,-0.02929688,-0.00114441,-0.00181418,-0.00038147,0.00000000
0.11981916,35,3.09991645,-1.67425425,-3.09645851,-0.00267029,1.49642087,-0.00038147,3.09991629,-1.62403613,-3.09645975,-0.00277926,1.49604110,-0.00043870,3.09953498,-1.64907725,-3.09951027,-0.00038147,1.49985409,-0.00038147,-0.00488281,0.02441406,0.00488281,-0.01464844,-0.00000000,-0.02929688,-0.00114441,-0.00187682,-0.00038147,0.00000000
0.13434172,40,3.09991645,-1.67425425,-3.09645851,-0.00267029,1.49642087,-0.00038147,3.09991640,-1.62402107,-3.09645892,-0.00273725,1.49603995,-0.00048811,3.09953498,-1.64869578,-3.09951027,-0.00038147,1.49947262,-0.00038147,-0.00488281,0.03906250,0.00488281,-0.02929688,-0.01464844,-0.01464844,-0.00114441,-0.00189734,-0.00038147,0.00000000
0.14927840,45,3.09991645,-1.67387278,-3.09645851,-0.00305176,1.49642087,-0.00038147,3.09991643,-1.62400087,-3.09645865,-0.00276852,1.49603958,-0.00053556,3.09953498,-1.64793284,-3.09951027,-0.00038147,1.49870968,-0.00038147,0.00000000,0.03906250,0.00488281,-0.01464844,-0.04394531,-0.02929688,-0.00114441,-0.00190407,-0.00038147,-0.04882812
0.16432929,50,3.09991645,-1.67425425,-3.09645851,-0.00305176,1.49642087,-0.00076294,3.09991644,-1.62407983,-3.09645856,-0.00289791,1.49603946,-0.00050825,3.09953498,-1.64716990,-3.09951027,-0.00038147,1.49794674,-0.00038147,0.00000000,0.04882812,0.00488281,0.00000000,-0.04394531,-0.01464844,-0.00114441,-0.00190627,-0.00038147,-0.04882812
